Name,Siv.18x275_pim_ACC_opt5_cut
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,2044
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
766,1 - 1 - 12021,1 - 1 - 2021,19800.0,1.8439088914585775,1.7782013384316186,3.1622776601683795,0.000201,0.0001,0.000215443,0.0641,0.05,0.1,0.0374,0.0,0.05,-0.046,0.00898,0.00232,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
767,1 - 1 - 12021,1 - 1 - 2021,19800.0,1.8248287590894658,1.7782013384316186,3.1622776601683795,0.000208,0.0001,0.000215443,0.119,0.1,0.15,0.0333,0.0,0.05,0.0748,0.0262,0.000874,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
771,1 - 1 - 12021,1 - 1 - 2021,19800.0,1.835755975068582,1.7782013384316186,3.1622776601683795,0.000203,0.0001,0.000215443,0.17,0.15,0.2,0.079,0.05,0.1,0.121,0.0152,0.0021,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
772,1 - 1 - 12021,1 - 1 - 2021,19800.0,1.8384776310850235,1.7782013384316186,3.1622776601683795,0.000204,0.0001,0.000215443,0.233,0.2,0.3,0.0777,0.05,0.1,0.126,0.0242,0.0228,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
778,1 - 1 - 12021,1 - 1 - 2021,19800.0,1.835755975068582,1.7782013384316186,3.1622776601683795,0.000204,0.0001,0.000215443,0.34,0.3,0.4,0.157,0.1,0.2,0.0912,0.011,0.00572,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
779,1 - 1 - 12021,1 - 1 - 2021,19800.0,1.8248287590894658,1.7782013384316186,3.1622776601683795,0.000205,0.0001,0.000215443,0.441,0.4,0.5,0.152,0.1,0.2,0.127,0.0209,0.0798,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
780,1 - 1 - 12021,1 - 1 - 2021,19800.0,1.8220867158288598,1.7782013384316186,3.1622776601683795,0.000205,0.0001,0.000215443,0.53,0.5,0.6,0.163,0.1,0.2,0.334,0.0382,0.02,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
834,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.083266665599966,1.7782013384316186,3.1622776601683795,0.000356,0.000215443,0.000464159,0.0674,0.05,0.1,0.0312,0.0,0.05,0.0255,0.00126,0.00169,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
835,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.071231517720798,1.7782013384316186,3.1622776601683795,0.000356,0.000215443,0.000464159,0.121,0.1,0.15,0.0319,0.0,0.05,-0.0205,0.00239,1.64e-06,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
836,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.04939015319192,1.7782013384316186,3.1622776601683795,0.000358,0.000215443,0.000464159,0.172,0.15,0.2,0.0314,0.0,0.05,-0.0405,0.0034,0.000986,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
837,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.046948949045872,1.7782013384316186,3.1622776601683795,0.000353,0.000215443,0.000464159,0.241,0.2,0.3,0.0321,0.0,0.05,-0.0148,0.0036,0.000959,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
838,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.0591260281974,1.7782013384316186,3.1622776601683795,0.000357,0.000215443,0.000464159,0.339,0.3,0.4,0.032,0.0,0.05,0.0694,0.00665,0.000682,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
839,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.0542638584174138,1.7782013384316186,3.1622776601683795,0.000356,0.000215443,0.000464159,0.442,0.4,0.5,0.032,0.0,0.05,-0.114,0.00976,0.000144,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
840,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.0542638584174138,1.7782013384316186,3.1622776601683795,0.000355,0.000215443,0.000464159,0.543,0.5,0.6,0.0309,0.0,0.05,-0.0438,0.0146,0.0853,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
841,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.0124611797498106,1.7782013384316186,3.1622776601683795,0.000347,0.000215443,0.000464159,0.644,0.6,0.7,0.0338,0.0,0.05,-0.0682,0.0187,0.0251,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
842,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.0248456731316584,1.7782013384316186,3.1622776601683795,0.000353,0.000215443,0.000464159,0.741,0.7,0.8,0.03,0.0,0.05,-0.478,0.0344,0.209,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
846,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.0639767440550294,1.7782013384316186,3.1622776601683795,0.000356,0.000215443,0.000464159,0.172,0.15,0.2,0.0763,0.05,0.1,0.0222,0.00196,0.000368,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
847,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.0615528128088303,1.7782013384316186,3.1622776601683795,0.000355,0.000215443,0.000464159,0.241,0.2,0.3,0.0763,0.05,0.1,-0.0156,0.00197,2.84e-05,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
848,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.0591260281974,1.7782013384316186,3.1622776601683795,0.000358,0.000215443,0.000464159,0.341,0.3,0.4,0.0758,0.05,0.1,-0.00601,0.00323,4.7e-14,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
849,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.0566963801203135,1.7782013384316186,3.1622776601683795,0.000356,0.000215443,0.000464159,0.441,0.4,0.5,0.0754,0.05,0.1,0.0179,0.00528,0.00334,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
850,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.0420577856662137,1.7782013384316186,3.1622776601683795,0.000358,0.000215443,0.000464159,0.542,0.5,0.6,0.0757,0.05,0.1,0.0313,0.00791,0.0243,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
851,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.0445048300260873,1.7782013384316186,3.1622776601683795,0.000355,0.000215443,0.000464159,0.644,0.6,0.7,0.078,0.05,0.1,0.0627,0.0119,0.0273,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
852,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.06881608655772,1.7782013384316186,3.1622776601683795,0.000348,0.000215443,0.000464159,0.748,0.7,0.8,0.0774,0.05,0.1,0.0291,0.0205,0.208,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
853,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.073644135332772,1.7782013384316186,3.1622776601683795,0.000351,0.000215443,0.000464159,0.842,0.8,0.9,0.0724,0.05,0.1,-0.304,0.0246,0.963,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
859,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.0542638584174138,1.7782013384316186,3.1622776601683795,0.000353,0.000215443,0.000464159,0.342,0.3,0.4,0.152,0.1,0.2,0.0049,0.00157,0.000199,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
860,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.0518284528683193,1.7782013384316186,3.1622776601683795,0.000356,0.000215443,0.000464159,0.442,0.4,0.5,0.152,0.1,0.2,-0.0412,0.00243,0.00364,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
861,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.0371548787463363,1.7782013384316186,3.1622776601683795,0.000357,0.000215443,0.000464159,0.541,0.5,0.6,0.153,0.1,0.2,0.00197,0.00368,0.00435,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
862,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.04939015319192,1.7782013384316186,3.1622776601683795,0.000354,0.000215443,0.000464159,0.646,0.6,0.7,0.153,0.1,0.2,0.0224,0.0058,0.0603,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
863,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.0248456731316584,1.7782013384316186,3.1622776601683795,0.000355,0.000215443,0.000464159,0.742,0.7,0.8,0.154,0.1,0.2,0.00301,0.00822,0.00152,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
864,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.0566963801203135,1.7782013384316186,3.1622776601683795,0.000359,0.000215443,0.000464159,0.841,0.8,0.9,0.15,0.1,0.2,-0.0402,0.015,0.129,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
865,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.046948949045872,1.7782013384316186,3.1622776601683795,0.000358,0.000215443,0.000464159,0.94,0.9,1.0,0.156,0.1,0.2,-0.0293,0.0232,0.533,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
