Name,Siv.5x100_pip_ACC_opt5_cut
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,1413
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
829,1 - 1 - 12001,1 - 1 - 2001,2000.0,1.857417562100671,1.7782013384316186,3.1622776601683795,0.00198,0.001,0.00215443,0.0675,0.05,0.1,0.0313,0.0,0.05,0.00945,0.00635,0.0586,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
830,1 - 1 - 12001,1 - 1 - 2001,2000.0,1.8520259177452134,1.7782013384316186,3.1622776601683795,0.00199,0.001,0.00215443,0.122,0.1,0.15,0.0311,0.0,0.05,-0.0481,0.0115,0.143,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
831,1 - 1 - 12001,1 - 1 - 2001,2000.0,1.8520259177452134,1.7782013384316186,3.1622776601683795,0.00197,0.001,0.00215443,0.173,0.15,0.2,0.031,0.0,0.05,0.0761,0.0178,0.0436,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
832,1 - 1 - 12001,1 - 1 - 2001,2000.0,1.8547236990991407,1.7782013384316186,3.1622776601683795,0.00198,0.001,0.00215443,0.24,0.2,0.3,0.0322,0.0,0.05,-0.309,0.018,0.0116,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
833,1 - 1 - 12001,1 - 1 - 2001,2000.0,1.849324200890693,1.7782013384316186,3.1622776601683795,0.00196,0.001,0.00215443,0.336,0.3,0.4,0.032,0.0,0.05,0.119,0.0258,0.235,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
837,1 - 1 - 12001,1 - 1 - 2001,2000.0,1.8520259177452134,1.7782013384316186,3.1622776601683795,0.00197,0.001,0.00215443,0.172,0.15,0.2,0.0742,0.05,0.1,0.125,0.00996,0.286,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
838,1 - 1 - 12001,1 - 1 - 2001,2000.0,1.8520259177452134,1.7782013384316186,3.1622776601683795,0.00197,0.001,0.00215443,0.24,0.2,0.3,0.0741,0.05,0.1,0.0296,0.00938,0.138,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
839,1 - 1 - 12001,1 - 1 - 2001,2000.0,1.8520259177452134,1.7782013384316186,3.1622776601683795,0.00196,0.001,0.00215443,0.345,0.3,0.4,0.0757,0.05,0.1,0.0646,0.0166,1.19,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
840,1 - 1 - 12001,1 - 1 - 2001,2000.0,1.8439088914585775,1.7782013384316186,3.1622776601683795,0.00196,0.001,0.00215443,0.448,0.4,0.5,0.0773,0.05,0.1,0.2,0.0231,1.11,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
841,1 - 1 - 12001,1 - 1 - 2001,2000.0,1.8520259177452134,1.7782013384316186,3.1622776601683795,0.00197,0.001,0.00215443,0.544,0.5,0.6,0.0753,0.05,0.1,0.27,0.0392,0.163,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
