Name,Siv.ed_5x41_pim_HB_opt5_cut
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,1138
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
819,1 - 1 - 12031,1 - 1 - 2031,820.0,1.8193405398660252,1.7782013384316186,3.1622776601683795,0.00444,0.00215443,0.00464159,0.066,0.05,0.1,0.0317,0.0,0.05,0.0788,0.0296,0.873,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
820,1 - 1 - 12031,1 - 1 - 2031,820.0,1.816590212458495,1.7782013384316186,3.1622776601683795,0.00448,0.00215443,0.00464159,0.12,0.1,0.15,0.0298,0.0,0.05,0.131,0.067,0.769,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
821,1 - 1 - 12031,1 - 1 - 2031,820.0,1.816590212458495,1.7782013384316186,3.1622776601683795,0.00441,0.00215443,0.00464159,0.169,0.15,0.2,0.0324,0.0,0.05,-0.219,0.0834,0.483,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
822,1 - 1 - 12031,1 - 1 - 2031,820.0,1.8248287590894658,1.7782013384316186,3.1622776601683795,0.00447,0.00215443,0.00464159,0.246,0.2,0.3,0.0282,0.0,0.05,-0.0306,0.101,4.87,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
823,1 - 1 - 12031,1 - 1 - 2031,820.0,1.833030277982336,1.7782013384316186,3.1622776601683795,0.00453,0.00215443,0.00464159,0.342,0.3,0.4,0.0297,0.0,0.05,-0.378,0.118,0.884,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
827,1 - 1 - 12031,1 - 1 - 2031,820.0,1.8193405398660252,1.7782013384316186,3.1622776601683795,0.00441,0.00215443,0.00464159,0.171,0.15,0.2,0.0767,0.05,0.1,0.0279,0.0497,6.25,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
828,1 - 1 - 12031,1 - 1 - 2031,820.0,1.8138357147217055,1.7782013384316186,3.1622776601683795,0.00442,0.00215443,0.00464159,0.246,0.2,0.3,0.0764,0.05,0.1,0.0245,0.0492,0.114,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
829,1 - 1 - 12031,1 - 1 - 2031,820.0,1.8138357147217055,1.7782013384316186,3.1622776601683795,0.00446,0.00215443,0.00464159,0.347,0.3,0.4,0.0768,0.05,0.1,0.164,0.0719,0.0492,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
830,1 - 1 - 12031,1 - 1 - 2031,820.0,1.8138357147217055,1.7782013384316186,3.1622776601683795,0.00442,0.00215443,0.00464159,0.449,0.4,0.5,0.079,0.05,0.1,-0.0862,0.108,2.78,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
836,1 - 1 - 12031,1 - 1 - 2031,820.0,1.8220867158288598,1.7782013384316186,3.1622776601683795,0.00445,0.00215443,0.00464159,0.342,0.3,0.4,0.152,0.1,0.2,-0.0143,0.0375,3.84,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
