Name,Siv.en_18x100_km_HB_opt8_cut
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,1361
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
749,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.9874606914351791,1.7782013384316186,3.1622776601683795,0.000807,0.000464159,0.001,0.07,0.05,0.1,0.0321,0.0,0.05,0.0196,0.0128,2.13,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
750,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.9798989873223332,1.7782013384316186,3.1622776601683795,0.000827,0.000464159,0.001,0.12,0.1,0.15,0.0305,0.0,0.05,0.0859,0.019,0.955,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
751,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.9798989873223332,1.7782013384316186,3.1622776601683795,0.000818,0.000464159,0.001,0.171,0.15,0.2,0.031,0.0,0.05,-0.116,0.0183,0.264,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
752,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.9849433241279208,1.7782013384316186,3.1622776601683795,0.000807,0.000464159,0.001,0.245,0.2,0.3,0.0307,0.0,0.05,0.043,0.021,0.82,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
753,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.96468827043885,1.7782013384316186,3.1622776601683795,0.000832,0.000464159,0.001,0.349,0.3,0.4,0.0319,0.0,0.05,0.00505,0.0311,2.87,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
754,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.969771560359221,1.7782013384316186,3.1622776601683795,0.000835,0.000464159,0.001,0.442,0.4,0.5,0.0334,0.0,0.05,0.412,0.0448,0.262,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
758,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.9949937343260002,1.7782013384316186,3.1622776601683795,0.000807,0.000464159,0.001,0.171,0.15,0.2,0.0773,0.05,0.1,0.107,0.0115,0.0846,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
759,1 - 1 - 12052,1 - 1 - 2052,7200.0,2.0074859899884734,1.7782013384316186,3.1622776601683795,0.000821,0.000464159,0.001,0.243,0.2,0.3,0.0759,0.05,0.1,0.0152,0.0113,0.879,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
760,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.9672315572906003,1.7782013384316186,3.1622776601683795,0.000829,0.000464159,0.001,0.341,0.3,0.4,0.077,0.05,0.1,-0.126,0.0166,0.39,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
761,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.96468827043885,1.7782013384316186,3.1622776601683795,0.00081,0.000464159,0.001,0.439,0.4,0.5,0.0752,0.05,0.1,0.0139,0.0222,3.72,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
