Name,Siv.en_18x100_pip_HB_opt5_cut
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,1920
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
821,1 - 1 - 12041,1 - 1 - 2041,7200.0,2.0,1.7782013384316186,3.1622776601683795,0.000814,0.000464159,0.001,0.0677,0.05,0.1,0.0317,0.0,0.05,-0.0202,0.00312,0.614,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
822,1 - 1 - 12041,1 - 1 - 2041,7200.0,1.9874606914351791,1.7782013384316186,3.1622776601683795,0.000829,0.000464159,0.001,0.12,0.1,0.15,0.0321,0.0,0.05,-0.0612,0.00606,0.247,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
823,1 - 1 - 12041,1 - 1 - 2041,7200.0,1.982422760159901,1.7782013384316186,3.1622776601683795,0.000824,0.000464159,0.001,0.172,0.15,0.2,0.0329,0.0,0.05,0.00131,0.00919,47.1,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
824,1 - 1 - 12041,1 - 1 - 2041,7200.0,1.977371993328519,1.7782013384316186,3.1622776601683795,0.000826,0.000464159,0.001,0.24,0.2,0.3,0.0319,0.0,0.05,-0.0403,0.00922,1.16,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
825,1 - 1 - 12041,1 - 1 - 2041,7200.0,1.9798989873223332,1.7782013384316186,3.1622776601683795,0.000828,0.000464159,0.001,0.343,0.3,0.4,0.0329,0.0,0.05,-0.0978,0.0175,1.11,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
826,1 - 1 - 12041,1 - 1 - 2041,7200.0,1.9748417658131499,1.7782013384316186,3.1622776601683795,0.000824,0.000464159,0.001,0.439,0.4,0.5,0.0323,0.0,0.05,0.0166,0.0248,13.3,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
827,1 - 1 - 12041,1 - 1 - 2041,7200.0,1.9493588689617927,1.7782013384316186,3.1622776601683795,0.000845,0.000464159,0.001,0.54,0.5,0.6,0.0368,0.0,0.05,-0.198,0.0374,2.81,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
828,1 - 1 - 12041,1 - 1 - 2041,7200.0,1.982422760159901,1.7782013384316186,3.1622776601683795,0.000828,0.000464159,0.001,0.652,0.6,0.7,0.0322,0.0,0.05,0.803,0.062,1.28,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
832,1 - 1 - 12041,1 - 1 - 2041,7200.0,1.9849433241279208,1.7782013384316186,3.1622776601683795,0.000811,0.000464159,0.001,0.171,0.15,0.2,0.0766,0.05,0.1,0.018,0.0047,0.542,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
833,1 - 1 - 12041,1 - 1 - 2041,7200.0,1.972308292331602,1.7782013384316186,3.1622776601683795,0.000818,0.000464159,0.001,0.24,0.2,0.3,0.0763,0.05,0.1,0.0295,0.00505,1.29,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
