Name,Siv.en_5x41_km_ACC_opt6_cut
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,707
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
685,1 - 1 - 12052,1 - 1 - 2052,820.0,1.8275666882497066,1.7782013384316186,3.1622776601683795,0.00444,0.00215443,0.00464159,0.247,0.2,0.3,0.0726,0.05,0.1,-0.228,0.0863,1.04,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
691,1 - 1 - 12052,1 - 1 - 2052,820.0,1.8220867158288598,1.7782013384316186,3.1622776601683795,0.00447,0.00215443,0.00464159,0.344,0.3,0.4,0.145,0.1,0.2,0.0376,0.0511,2.38,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
720,1 - 1 - 12052,1 - 1 - 2052,820.0,2.0445048300260873,1.7782013384316186,3.1622776601683795,0.0076,0.00464159,0.01,0.0714,0.05,0.1,0.0316,0.0,0.05,-0.0209,0.0113,1.48,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
721,1 - 1 - 12052,1 - 1 - 2052,820.0,2.0445048300260873,1.7782013384316186,3.1622776601683795,0.00756,0.00464159,0.01,0.121,0.1,0.15,0.0311,0.0,0.05,-0.0459,0.0138,1.22,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
722,1 - 1 - 12052,1 - 1 - 2052,820.0,2.080865204668481,1.7782013384316186,3.1622776601683795,0.00756,0.00464159,0.01,0.171,0.15,0.2,0.031,0.0,0.05,0.00698,0.0186,100.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
723,1 - 1 - 12052,1 - 1 - 2052,820.0,2.0542638584174138,1.7782013384316186,3.1622776601683795,0.00764,0.00464159,0.01,0.239,0.2,0.3,0.0311,0.0,0.05,-0.112,0.0168,3.19,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
724,1 - 1 - 12052,1 - 1 - 2052,820.0,2.0566963801203135,1.7782013384316186,3.1622776601683795,0.00762,0.00464159,0.01,0.344,0.3,0.4,0.0325,0.0,0.05,-0.104,0.0295,10.2,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
725,1 - 1 - 12052,1 - 1 - 2052,820.0,2.0223748416156684,1.7782013384316186,3.1622776601683795,0.00754,0.00464159,0.01,0.444,0.4,0.5,0.0304,0.0,0.05,0.174,0.0406,0.959,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
726,1 - 1 - 12052,1 - 1 - 2052,820.0,2.0371548787463363,1.7782013384316186,3.1622776601683795,0.00769,0.00464159,0.01,0.548,0.5,0.6,0.0328,0.0,0.05,0.118,0.0507,0.18,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
727,1 - 1 - 12052,1 - 1 - 2052,820.0,2.0420577856662137,1.7782013384316186,3.1622776601683795,0.00776,0.00464159,0.01,0.64,0.6,0.7,0.0346,0.0,0.05,-0.826,0.0784,0.306,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
730,1 - 1 - 12052,1 - 1 - 2052,820.0,2.0518284528683193,1.7782013384316186,3.1622776601683795,0.00759,0.00464159,0.01,0.123,0.1,0.15,0.0759,0.05,0.1,-0.028,0.00818,6.61,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
731,1 - 1 - 12052,1 - 1 - 2052,820.0,2.0615528128088303,1.7782013384316186,3.1622776601683795,0.00754,0.00464159,0.01,0.172,0.15,0.2,0.0754,0.05,0.1,0.0963,0.00966,1.01,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
732,1 - 1 - 12052,1 - 1 - 2052,820.0,2.0566963801203135,1.7782013384316186,3.1622776601683795,0.00759,0.00464159,0.01,0.241,0.2,0.3,0.0757,0.05,0.1,0.0244,0.00944,2.86,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
733,1 - 1 - 12052,1 - 1 - 2052,820.0,2.0445048300260873,1.7782013384316186,3.1622776601683795,0.00765,0.00464159,0.01,0.343,0.3,0.4,0.0763,0.05,0.1,0.0656,0.0139,4.34,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
