Name,Siv.en_5x41_kp_ACC_opt6_cut
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,844
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
712,1 - 1 - 12042,1 - 1 - 2042,820.0,1.8193405398660252,1.7782013384316186,3.1622776601683795,0.00444,0.00215443,0.00464159,0.168,0.15,0.2,0.0761,0.05,0.1,0.661,0.0812,0.985,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
718,1 - 1 - 12042,1 - 1 - 2042,820.0,1.8138357147217055,1.7782013384316186,3.1622776601683795,0.00446,0.00215443,0.00464159,0.349,0.3,0.4,0.145,0.1,0.2,0.289,0.0511,0.546,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
748,1 - 1 - 12042,1 - 1 - 2042,820.0,2.046948949045872,1.7782013384316186,3.1622776601683795,0.00758,0.00464159,0.01,0.0705,0.05,0.1,0.0318,0.0,0.05,-0.0439,0.0101,1.23,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
749,1 - 1 - 12042,1 - 1 - 2042,820.0,2.0591260281974,1.7782013384316186,3.1622776601683795,0.00754,0.00464159,0.01,0.123,0.1,0.15,0.0329,0.0,0.05,-0.0523,0.0137,1.19,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
750,1 - 1 - 12042,1 - 1 - 2042,820.0,2.0445048300260873,1.7782013384316186,3.1622776601683795,0.00764,0.00464159,0.01,0.173,0.15,0.2,0.0302,0.0,0.05,-0.044,0.0176,4.79,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
751,1 - 1 - 12042,1 - 1 - 2042,820.0,2.0566963801203135,1.7782013384316186,3.1622776601683795,0.00751,0.00464159,0.01,0.243,0.2,0.3,0.0323,0.0,0.05,-0.108,0.0158,0.971,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
752,1 - 1 - 12042,1 - 1 - 2042,820.0,2.046948949045872,1.7782013384316186,3.1622776601683795,0.00758,0.00464159,0.01,0.342,0.3,0.4,0.0306,0.0,0.05,-0.0846,0.0233,5.77,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
753,1 - 1 - 12042,1 - 1 - 2042,820.0,2.0223748416156684,1.7782013384316186,3.1622776601683795,0.00733,0.00464159,0.01,0.438,0.4,0.5,0.0315,0.0,0.05,-0.0362,0.0354,3.32,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
754,1 - 1 - 12042,1 - 1 - 2042,820.0,2.0149441679609885,1.7782013384316186,3.1622776601683795,0.00747,0.00464159,0.01,0.541,0.5,0.6,0.0306,0.0,0.05,0.0064,0.0465,18.2,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
757,1 - 1 - 12042,1 - 1 - 2042,820.0,2.0591260281974,1.7782013384316186,3.1622776601683795,0.00761,0.00464159,0.01,0.123,0.1,0.15,0.0754,0.05,0.1,0.0699,0.00774,8.48,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
