Name,Siv.en_5x41_pim_ACC_opt5_cut
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,1065
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
800,1 - 1 - 12051,1 - 1 - 2051,820.0,1.816590212458495,1.7782013384316186,3.1622776601683795,0.00442,0.00215443,0.00464159,0.0674,0.05,0.1,0.0306,0.0,0.05,0.0552,0.0235,0.819,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
801,1 - 1 - 12051,1 - 1 - 2051,820.0,1.8110770276274832,1.7782013384316186,3.1622776601683795,0.00442,0.00215443,0.00464159,0.124,0.1,0.15,0.0297,0.0,0.05,-0.157,0.0448,0.628,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
802,1 - 1 - 12051,1 - 1 - 2051,820.0,1.8138357147217055,1.7782013384316186,3.1622776601683795,0.0044,0.00215443,0.00464159,0.172,0.15,0.2,0.0307,0.0,0.05,-0.212,0.0543,1.18,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
803,1 - 1 - 12051,1 - 1 - 2051,820.0,1.8220867158288598,1.7782013384316186,3.1622776601683795,0.00445,0.00215443,0.00464159,0.245,0.2,0.3,0.0328,0.0,0.05,0.261,0.0666,1.86,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
807,1 - 1 - 12051,1 - 1 - 2051,820.0,1.816590212458495,1.7782013384316186,3.1622776601683795,0.00444,0.00215443,0.00464159,0.173,0.15,0.2,0.0764,0.05,0.1,0.115,0.0399,1.07,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
808,1 - 1 - 12051,1 - 1 - 2051,820.0,1.8110770276274832,1.7782013384316186,3.1622776601683795,0.00441,0.00215443,0.00464159,0.241,0.2,0.3,0.0743,0.05,0.1,0.0583,0.0383,2.25,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
809,1 - 1 - 12051,1 - 1 - 2051,820.0,1.8110770276274832,1.7782013384316186,3.1622776601683795,0.00443,0.00215443,0.00464159,0.333,0.3,0.4,0.0761,0.05,0.1,0.395,0.0545,0.774,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
810,1 - 1 - 12051,1 - 1 - 2051,820.0,1.8193405398660252,1.7782013384316186,3.1622776601683795,0.00444,0.00215443,0.00464159,0.443,0.4,0.5,0.0746,0.05,0.1,0.487,0.0747,1.72,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
816,1 - 1 - 12051,1 - 1 - 2051,820.0,1.816590212458495,1.7782013384316186,3.1622776601683795,0.00444,0.00215443,0.00464159,0.343,0.3,0.4,0.15,0.1,0.2,0.054,0.0295,1.21,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
817,1 - 1 - 12051,1 - 1 - 2051,820.0,1.8138357147217055,1.7782013384316186,3.1622776601683795,0.00445,0.00215443,0.00464159,0.444,0.4,0.5,0.15,0.1,0.2,0.15,0.0439,0.0294,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
