Name,Siv.ep_10x100_km_ACC_opt6_cut
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,1099
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
758,1 - 1 - 12022,1 - 1 - 2022,4000.0,1.8384776310850235,1.7782013384316186,3.1622776601683795,0.000956,0.000464159,0.001,0.0743,0.05,0.1,0.0305,0.0,0.05,0.145,0.0596,0.931,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
759,1 - 1 - 12022,1 - 1 - 2022,4000.0,1.8275666882497066,1.7782013384316186,3.1622776601683795,0.000944,0.000464159,0.001,0.123,0.1,0.15,0.0346,0.0,0.05,-0.262,0.057,1.04,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
762,1 - 1 - 12022,1 - 1 - 2022,4000.0,1.8220867158288598,1.7782013384316186,3.1622776601683795,0.000942,0.000464159,0.001,0.174,0.15,0.2,0.0766,0.05,0.1,0.497,0.0532,2.99,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
768,1 - 1 - 12022,1 - 1 - 2022,4000.0,1.8303005217723127,1.7782013384316186,3.1622776601683795,0.000953,0.000464159,0.001,0.34,0.3,0.4,0.147,0.1,0.2,-0.144,0.0415,0.165,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
800,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.0591260281974,1.7782013384316186,3.1622776601683795,0.00164,0.001,0.00215443,0.0724,0.05,0.1,0.0316,0.0,0.05,0.0925,0.00823,0.892,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
801,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.0760539492026693,1.7782013384316186,3.1622776601683795,0.00163,0.001,0.00215443,0.122,0.1,0.15,0.0309,0.0,0.05,0.00131,0.0107,275.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
802,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.083266665599966,1.7782013384316186,3.1622776601683795,0.00162,0.001,0.00215443,0.172,0.15,0.2,0.0316,0.0,0.05,-0.00893,0.0146,13.1,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
803,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.0591260281974,1.7782013384316186,3.1622776601683795,0.00162,0.001,0.00215443,0.241,0.2,0.3,0.031,0.0,0.05,0.0294,0.0123,1.81,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
804,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.0518284528683193,1.7782013384316186,3.1622776601683795,0.00163,0.001,0.00215443,0.344,0.3,0.4,0.0328,0.0,0.05,0.105,0.022,0.409,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
805,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.0445048300260873,1.7782013384316186,3.1622776601683795,0.00162,0.001,0.00215443,0.443,0.4,0.5,0.0322,0.0,0.05,0.45,0.0316,2.54e-13,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
806,1 - 1 - 12022,1 - 1 - 2022,4000.0,1.982422760159901,1.7782013384316186,3.1622776601683795,0.00162,0.001,0.00215443,0.551,0.5,0.6,0.0314,0.0,0.05,0.112,0.0379,1.63e-12,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
809,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.073644135332772,1.7782013384316186,3.1622776601683795,0.00164,0.001,0.00215443,0.122,0.1,0.15,0.0752,0.05,0.1,-0.00952,0.00582,7.18,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
810,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.0542638584174138,1.7782013384316186,3.1622776601683795,0.00162,0.001,0.00215443,0.172,0.15,0.2,0.0763,0.05,0.1,0.0605,0.00729,8.65,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
811,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.06881608655772,1.7782013384316186,3.1622776601683795,0.00162,0.001,0.00215443,0.241,0.2,0.3,0.0754,0.05,0.1,-0.0254,0.00731,0.844,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
812,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.0591260281974,1.7782013384316186,3.1622776601683795,0.00164,0.001,0.00215443,0.346,0.3,0.4,0.0762,0.05,0.1,-0.0267,0.0112,0.0421,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
813,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.0542638584174138,1.7782013384316186,3.1622776601683795,0.00162,0.001,0.00215443,0.444,0.4,0.5,0.0752,0.05,0.1,-0.00284,0.015,1.14e-09,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
814,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.0371548787463363,1.7782013384316186,3.1622776601683795,0.00165,0.001,0.00215443,0.541,0.5,0.6,0.0757,0.05,0.1,-0.21,0.0206,1.75e-12,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
815,1 - 1 - 12022,1 - 1 - 2022,4000.0,1.9672315572906003,1.7782013384316186,3.1622776601683795,0.00149,0.001,0.00215443,0.639,0.6,0.7,0.0771,0.05,0.1,-0.135,0.0354,3.57e-12,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
816,1 - 1 - 12022,1 - 1 - 2022,4000.0,1.9949937343260002,1.7782013384316186,3.1622776601683795,0.00156,0.001,0.00215443,0.744,0.7,0.8,0.0736,0.05,0.1,-0.259,0.0538,5.3e-13,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
822,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.0566963801203135,1.7782013384316186,3.1622776601683795,0.00164,0.001,0.00215443,0.342,0.3,0.4,0.151,0.1,0.2,-0.0299,0.00536,0.126,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
823,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.039607805437114,1.7782013384316186,3.1622776601683795,0.00163,0.001,0.00215443,0.444,0.4,0.5,0.15,0.1,0.2,0.0633,0.00748,0.0264,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
824,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.0420577856662137,1.7782013384316186,3.1622776601683795,0.00164,0.001,0.00215443,0.543,0.5,0.6,0.149,0.1,0.2,0.0177,0.00988,0.0823,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
825,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.0322401432901573,1.7782013384316186,3.1622776601683795,0.00165,0.001,0.00215443,0.639,0.6,0.7,0.15,0.1,0.2,0.0234,0.0167,1.67e-11,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
826,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.0591260281974,1.7782013384316186,3.1622776601683795,0.00168,0.001,0.00215443,0.739,0.7,0.8,0.152,0.1,0.2,0.0625,0.0223,0.235,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
827,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.046948949045872,1.7782013384316186,3.1622776601683795,0.00163,0.001,0.00215443,0.84,0.8,0.9,0.149,0.1,0.2,0.0181,0.0339,4.12,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
834,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.039607805437114,1.7782013384316186,3.1622776601683795,0.00162,0.001,0.00215443,0.444,0.4,0.5,0.248,0.2,0.3,-0.0304,0.00665,0.00299,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
835,1 - 1 - 12022,1 - 1 - 2022,4000.0,2.06881608655772,1.7782013384316186,3.1622776601683795,0.00167,0.001,0.00215443,0.542,0.5,0.6,0.248,0.2,0.3,0.0894,0.00874,0.0674,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
