Name,Siv.ep_10x100_pim_ACC_opt8_cut
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,1599
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
835,1 - 1 - 12021,1 - 1 - 2021,4000.0,1.8303005217723127,1.7782013384316186,3.1622776601683795,0.000943,0.000464159,0.001,0.0678,0.05,0.1,0.0314,0.0,0.05,0.0985,0.0159,0.416,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
836,1 - 1 - 12021,1 - 1 - 2021,4000.0,1.8275666882497066,1.7782013384316186,3.1622776601683795,0.000953,0.000464159,0.001,0.122,0.1,0.15,0.0308,0.0,0.05,0.101,0.0275,0.346,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
837,1 - 1 - 12021,1 - 1 - 2021,4000.0,1.8384776310850235,1.7782013384316186,3.1622776601683795,0.000957,0.000464159,0.001,0.171,0.15,0.2,0.0342,0.0,0.05,0.699,0.0503,0.176,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
838,1 - 1 - 12021,1 - 1 - 2021,4000.0,1.8193405398660252,1.7782013384316186,3.1622776601683795,0.000962,0.000464159,0.001,0.242,0.2,0.3,0.0323,0.0,0.05,0.132,0.0439,0.344,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
842,1 - 1 - 12021,1 - 1 - 2021,4000.0,1.833030277982336,1.7782013384316186,3.1622776601683795,0.00095,0.000464159,0.001,0.173,0.15,0.2,0.0751,0.05,0.1,-0.314,0.0257,0.403,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
843,1 - 1 - 12021,1 - 1 - 2021,4000.0,1.833030277982336,1.7782013384316186,3.1622776601683795,0.000949,0.000464159,0.001,0.237,0.2,0.3,0.0779,0.05,0.1,-0.105,0.0223,0.139,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
844,1 - 1 - 12021,1 - 1 - 2021,4000.0,1.835755975068582,1.7782013384316186,3.1622776601683795,0.000959,0.000464159,0.001,0.334,0.3,0.4,0.0792,0.05,0.1,0.144,0.0371,0.237,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
845,1 - 1 - 12021,1 - 1 - 2021,4000.0,1.816590212458495,1.7782013384316186,3.1622776601683795,0.00096,0.000464159,0.001,0.447,0.4,0.5,0.0769,0.05,0.1,0.645,0.0499,0.0481,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
851,1 - 1 - 12021,1 - 1 - 2021,4000.0,1.835755975068582,1.7782013384316186,3.1622776601683795,0.000941,0.000464159,0.001,0.342,0.3,0.4,0.149,0.1,0.2,0.0703,0.0192,0.442,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
852,1 - 1 - 12021,1 - 1 - 2021,4000.0,1.8220867158288598,1.7782013384316186,3.1622776601683795,0.000942,0.000464159,0.001,0.443,0.4,0.5,0.15,0.1,0.2,0.00959,0.0249,4.37,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
853,1 - 1 - 12021,1 - 1 - 2021,4000.0,1.833030277982336,1.7782013384316186,3.1622776601683795,0.000947,0.000464159,0.001,0.545,0.5,0.6,0.146,0.1,0.2,-0.0965,0.0386,1.49,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
861,1 - 1 - 12021,1 - 1 - 2021,4000.0,1.835755975068582,1.7782013384316186,3.1622776601683795,0.000953,0.000464159,0.001,0.553,0.5,0.6,0.251,0.2,0.3,0.166,0.0368,0.427,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
862,1 - 1 - 12021,1 - 1 - 2021,4000.0,1.8220867158288598,1.7782013384316186,3.1622776601683795,0.000952,0.000464159,0.001,0.635,0.6,0.7,0.239,0.2,0.3,0.371,0.0474,0.234,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
871,1 - 1 - 12021,1 - 1 - 2021,4000.0,1.8439088914585775,1.7782013384316186,3.1622776601683795,0.000942,0.000464159,0.001,0.744,0.7,0.8,0.412,0.3,0.5,-0.0453,0.0361,0.975,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
872,1 - 1 - 12021,1 - 1 - 2021,4000.0,1.816590212458495,1.7782013384316186,3.1622776601683795,0.000939,0.000464159,0.001,0.849,0.8,0.9,0.39,0.3,0.5,-0.182,0.0457,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
901,1 - 1 - 12021,1 - 1 - 2021,4000.0,2.073644135332772,1.7782013384316186,3.1622776601683795,0.00164,0.001,0.00215443,0.0675,0.05,0.1,0.0309,0.0,0.05,-0.0241,0.00213,1.13,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
