Name,Siv.ep_10x100_pip_ACC_opt5_cut
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,1762
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
847,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.833030277982336,1.7782013384316186,3.1622776601683795,0.000945,0.000464159,0.001,0.0674,0.05,0.1,0.0315,0.0,0.05,-0.0547,0.0139,1.41,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
848,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.8220867158288598,1.7782013384316186,3.1622776601683795,0.000943,0.000464159,0.001,0.123,0.1,0.15,0.0339,0.0,0.05,-0.0854,0.0267,0.122,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
849,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.8275666882497066,1.7782013384316186,3.1622776601683795,0.000951,0.000464159,0.001,0.171,0.15,0.2,0.0309,0.0,0.05,0.171,0.035,0.139,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
850,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.835755975068582,1.7782013384316186,3.1622776601683795,0.000945,0.000464159,0.001,0.244,0.2,0.3,0.0316,0.0,0.05,0.134,0.0494,0.755,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
854,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.8275666882497066,1.7782013384316186,3.1622776601683795,0.000947,0.000464159,0.001,0.173,0.15,0.2,0.0737,0.05,0.1,0.00367,0.021,0.382,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
855,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.8248287590894658,1.7782013384316186,3.1622776601683795,0.000941,0.000464159,0.001,0.236,0.2,0.3,0.08,0.05,0.1,-0.0461,0.0235,0.0379,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
856,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.835755975068582,1.7782013384316186,3.1622776601683795,0.000959,0.000464159,0.001,0.334,0.3,0.4,0.0768,0.05,0.1,0.195,0.0503,2.94,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
857,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.8248287590894658,1.7782013384316186,3.1622776601683795,0.000953,0.000464159,0.001,0.435,0.4,0.5,0.0729,0.05,0.1,0.3,0.0548,1.05,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
863,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.833030277982336,1.7782013384316186,3.1622776601683795,0.000946,0.000464159,0.001,0.339,0.3,0.4,0.15,0.1,0.2,0.0743,0.0174,0.199,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
864,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.8248287590894658,1.7782013384316186,3.1622776601683795,0.000943,0.000464159,0.001,0.444,0.4,0.5,0.157,0.1,0.2,-0.00834,0.0263,8.51,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
865,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.835755975068582,1.7782013384316186,3.1622776601683795,0.000954,0.000464159,0.001,0.544,0.5,0.6,0.157,0.1,0.2,-0.35,0.044,0.429,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
873,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.8220867158288598,1.7782013384316186,3.1622776601683795,0.000938,0.000464159,0.001,0.545,0.5,0.6,0.251,0.2,0.3,0.309,0.038,0.0435,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
874,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.841195263952197,1.7782013384316186,3.1622776601683795,0.00094,0.000464159,0.001,0.641,0.6,0.7,0.252,0.2,0.3,0.186,0.0449,0.248,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
883,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.835755975068582,1.7782013384316186,3.1622776601683795,0.000935,0.000464159,0.001,0.742,0.7,0.8,0.409,0.3,0.5,-0.759,0.054,0.173,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
912,1 - 1 - 12001,1 - 1 - 2001,4000.0,2.06881608655772,1.7782013384316186,3.1622776601683795,0.00163,0.001,0.00215443,0.0677,0.05,0.1,0.0312,0.0,0.05,0.012,0.00216,1.8,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
913,1 - 1 - 12001,1 - 1 - 2001,4000.0,2.073644135332772,1.7782013384316186,3.1622776601683795,0.00163,0.001,0.00215443,0.121,0.1,0.15,0.0318,0.0,0.05,0.0262,0.00393,0.0322,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
914,1 - 1 - 12001,1 - 1 - 2001,4000.0,2.0591260281974,1.7782013384316186,3.1622776601683795,0.00164,0.001,0.00215443,0.172,0.15,0.2,0.0313,0.0,0.05,0.0211,0.00562,0.0733,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
915,1 - 1 - 12001,1 - 1 - 2001,4000.0,2.071231517720798,1.7782013384316186,3.1622776601683795,0.00162,0.001,0.00215443,0.242,0.2,0.3,0.032,0.0,0.05,-0.00545,0.00593,0.35,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
916,1 - 1 - 12001,1 - 1 - 2001,4000.0,2.080865204668481,1.7782013384316186,3.1622776601683795,0.00166,0.001,0.00215443,0.34,0.3,0.4,0.0307,0.0,0.05,-0.0415,0.00943,0.11,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
