Name,Siv.ep_18x275_kp_ACC_opt6_cut
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,1880
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
717,1 - 1 - 12002,1 - 1 - 2002,19800.0,1.8547236990991407,1.7782013384316186,3.1622776601683795,0.000202,0.0001,0.000215443,0.0651,0.05,0.1,0.0352,0.0,0.05,0.059,0.0494,0.831,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
721,1 - 1 - 12002,1 - 1 - 2002,19800.0,1.8520259177452134,1.7782013384316186,3.1622776601683795,0.000205,0.0001,0.000215443,0.17,0.15,0.2,0.0791,0.05,0.1,0.00258,0.0507,1.64e-09,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
727,1 - 1 - 12002,1 - 1 - 2002,19800.0,1.841195263952197,1.7782013384316186,3.1622776601683795,0.000203,0.0001,0.000215443,0.336,0.3,0.4,0.159,0.1,0.2,-0.144,0.0348,1.59e-12,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
768,1 - 1 - 12002,1 - 1 - 2002,19800.0,2.0518284528683193,1.7782013384316186,3.1622776601683795,0.000349,0.000215443,0.000464159,0.0712,0.05,0.1,0.0317,0.0,0.05,-0.0787,0.00697,3.96,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
769,1 - 1 - 12002,1 - 1 - 2002,19800.0,2.078460969082653,1.7782013384316186,3.1622776601683795,0.000357,0.000215443,0.000464159,0.123,0.1,0.15,0.0321,0.0,0.05,-0.0299,0.00877,1.39,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
770,1 - 1 - 12002,1 - 1 - 2002,19800.0,2.080865204668481,1.7782013384316186,3.1622776601683795,0.000355,0.000215443,0.000464159,0.172,0.15,0.2,0.0303,0.0,0.05,-0.0163,0.0116,2.01,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
771,1 - 1 - 12002,1 - 1 - 2002,19800.0,2.0518284528683193,1.7782013384316186,3.1622776601683795,0.000354,0.000215443,0.000464159,0.24,0.2,0.3,0.0314,0.0,0.05,0.102,0.0107,0.0195,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
772,1 - 1 - 12002,1 - 1 - 2002,19800.0,2.0760539492026693,1.7782013384316186,3.1622776601683795,0.000356,0.000215443,0.000464159,0.343,0.3,0.4,0.0303,0.0,0.05,0.0401,0.0189,1.46e-11,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
773,1 - 1 - 12002,1 - 1 - 2002,19800.0,2.0199009876724157,1.7782013384316186,3.1622776601683795,0.000356,0.000215443,0.000464159,0.444,0.4,0.5,0.0308,0.0,0.05,0.0109,0.0233,0.788,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
774,1 - 1 - 12002,1 - 1 - 2002,19800.0,2.009975124224178,1.7782013384316186,3.1622776601683795,0.00035,0.000215443,0.000464159,0.54,0.5,0.6,0.0314,0.0,0.05,-0.146,0.0549,1.79,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
775,1 - 1 - 12002,1 - 1 - 2002,19800.0,1.9544820285692064,1.7782013384316186,3.1622776601683795,0.000329,0.000215443,0.000464159,0.638,0.6,0.7,0.0339,0.0,0.05,-0.0403,0.0442,7.54,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
778,1 - 1 - 12002,1 - 1 - 2002,19800.0,2.0760539492026693,1.7782013384316186,3.1622776601683795,0.000354,0.000215443,0.000464159,0.123,0.1,0.15,0.0763,0.05,0.1,-0.0245,0.00504,1.43,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
779,1 - 1 - 12002,1 - 1 - 2002,19800.0,2.08806130178211,1.7782013384316186,3.1622776601683795,0.000358,0.000215443,0.000464159,0.172,0.15,0.2,0.0758,0.05,0.1,0.0586,0.00612,0.208,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
780,1 - 1 - 12002,1 - 1 - 2002,19800.0,2.0615528128088303,1.7782013384316186,3.1622776601683795,0.000352,0.000215443,0.000464159,0.241,0.2,0.3,0.0773,0.05,0.1,-0.0403,0.00583,0.174,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
781,1 - 1 - 12002,1 - 1 - 2002,19800.0,2.0591260281974,1.7782013384316186,3.1622776601683795,0.000355,0.000215443,0.000464159,0.341,0.3,0.4,0.0762,0.05,0.1,0.0411,0.00993,0.13,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
782,1 - 1 - 12002,1 - 1 - 2002,19800.0,2.046948949045872,1.7782013384316186,3.1622776601683795,0.000355,0.000215443,0.000464159,0.44,0.4,0.5,0.0744,0.05,0.1,0.0244,0.0137,0.5,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
783,1 - 1 - 12002,1 - 1 - 2002,19800.0,2.0346989949375804,1.7782013384316186,3.1622776601683795,0.000359,0.000215443,0.000464159,0.546,0.5,0.6,0.0768,0.05,0.1,0.14,0.0204,0.493,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
