Name,Siv.ep_5x100_km_HB_opt6_cut
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,906
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
724,1 - 1 - 12022,1 - 1 - 2022,2000.0,1.849324200890693,1.7782013384316186,3.1622776601683795,0.00195,0.001,0.00215443,0.0702,0.05,0.1,0.0319,0.0,0.05,-0.0101,0.0384,2810000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
725,1 - 1 - 12022,1 - 1 - 2022,2000.0,1.8601075237738274,1.7782013384316186,3.1622776601683795,0.00196,0.001,0.00215443,0.126,0.1,0.15,0.0282,0.0,0.05,0.00526,0.0424,0.902,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
726,1 - 1 - 12022,1 - 1 - 2022,2000.0,1.857417562100671,1.7782013384316186,3.1622776601683795,0.00205,0.001,0.00215443,0.176,0.15,0.2,0.029,0.0,0.05,-0.123,0.0632,1.08,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
727,1 - 1 - 12022,1 - 1 - 2022,2000.0,1.8520259177452134,1.7782013384316186,3.1622776601683795,0.00198,0.001,0.00215443,0.246,0.2,0.3,0.0335,0.0,0.05,-0.12,0.0537,1.08,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
731,1 - 1 - 12022,1 - 1 - 2022,2000.0,1.8384776310850235,1.7782013384316186,3.1622776601683795,0.00198,0.001,0.00215443,0.175,0.15,0.2,0.0753,0.05,0.1,0.0577,0.0367,0.827,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
732,1 - 1 - 12022,1 - 1 - 2022,2000.0,1.8466185312619388,1.7782013384316186,3.1622776601683795,0.00199,0.001,0.00215443,0.246,0.2,0.3,0.0744,0.05,0.1,-0.178,0.028,1.06,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
733,1 - 1 - 12022,1 - 1 - 2022,2000.0,1.8439088914585775,1.7782013384316186,3.1622776601683795,0.00195,0.001,0.00215443,0.34,0.3,0.4,0.0747,0.05,0.1,-0.101,0.0537,0.37,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
739,1 - 1 - 12022,1 - 1 - 2022,2000.0,1.857417562100671,1.7782013384316186,3.1622776601683795,0.00199,0.001,0.00215443,0.344,0.3,0.4,0.151,0.1,0.2,0.124,0.0256,0.491,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
740,1 - 1 - 12022,1 - 1 - 2022,2000.0,1.8466185312619388,1.7782013384316186,3.1622776601683795,0.00199,0.001,0.00215443,0.447,0.4,0.5,0.151,0.1,0.2,-0.114,0.0321,1.04,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
741,1 - 1 - 12022,1 - 1 - 2022,2000.0,1.849324200890693,1.7782013384316186,3.1622776601683795,0.00197,0.001,0.00215443,0.544,0.5,0.6,0.142,0.1,0.2,0.302,0.052,0.222,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
749,1 - 1 - 12022,1 - 1 - 2022,2000.0,1.8547236990991407,1.7782013384316186,3.1622776601683795,0.00198,0.001,0.00215443,0.546,0.5,0.6,0.244,0.2,0.3,-0.258,0.0334,0.0784,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
