Name,Siv.ep_5x41_pip_HB_opt8_cut
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,1077
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
801,1 - 1 - 12001,1 - 1 - 2001,820.0,1.8193405398660252,1.7782013384316186,3.1622776601683795,0.00443,0.00215443,0.00464159,0.0674,0.05,0.1,0.031,0.0,0.05,0.0258,0.0231,0.612,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
802,1 - 1 - 12001,1 - 1 - 2001,820.0,1.816590212458495,1.7782013384316186,3.1622776601683795,0.00446,0.00215443,0.00464159,0.123,0.1,0.15,0.0298,0.0,0.05,0.0264,0.0422,1.44,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
803,1 - 1 - 12001,1 - 1 - 2001,820.0,1.816590212458495,1.7782013384316186,3.1622776601683795,0.0044,0.00215443,0.00464159,0.172,0.15,0.2,0.0285,0.0,0.05,0.463,0.0772,0.444,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
804,1 - 1 - 12001,1 - 1 - 2001,820.0,1.816590212458495,1.7782013384316186,3.1622776601683795,0.00443,0.00215443,0.00464159,0.238,0.2,0.3,0.0312,0.0,0.05,-0.151,0.0536,1.21,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
808,1 - 1 - 12001,1 - 1 - 2001,820.0,1.8220867158288598,1.7782013384316186,3.1622776601683795,0.00443,0.00215443,0.00464159,0.173,0.15,0.2,0.077,0.05,0.1,0.0905,0.0441,2.45,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
809,1 - 1 - 12001,1 - 1 - 2001,820.0,1.816590212458495,1.7782013384316186,3.1622776601683795,0.00447,0.00215443,0.00464159,0.237,0.2,0.3,0.076,0.05,0.1,-0.209,0.0307,0.234,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
810,1 - 1 - 12001,1 - 1 - 2001,820.0,1.8083141320025125,1.7782013384316186,3.1622776601683795,0.00441,0.00215443,0.00464159,0.345,0.3,0.4,0.0689,0.05,0.1,0.299,0.0616,2.06,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
811,1 - 1 - 12001,1 - 1 - 2001,820.0,1.8275666882497066,1.7782013384316186,3.1622776601683795,0.00443,0.00215443,0.00464159,0.448,0.4,0.5,0.079,0.05,0.1,-0.0439,0.0739,6.31,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
817,1 - 1 - 12001,1 - 1 - 2001,820.0,1.816590212458495,1.7782013384316186,3.1622776601683795,0.00443,0.00215443,0.00464159,0.341,0.3,0.4,0.147,0.1,0.2,0.0635,0.034,3.68,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
818,1 - 1 - 12001,1 - 1 - 2001,820.0,1.8193405398660252,1.7782013384316186,3.1622776601683795,0.00445,0.00215443,0.00464159,0.445,0.4,0.5,0.156,0.1,0.2,-0.263,0.0437,0.358,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
819,1 - 1 - 12001,1 - 1 - 2001,820.0,1.8110770276274832,1.7782013384316186,3.1622776601683795,0.00444,0.00215443,0.00464159,0.544,0.5,0.6,0.149,0.1,0.2,-0.81,0.0646,0.844,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
827,1 - 1 - 12001,1 - 1 - 2001,820.0,1.8193405398660252,1.7782013384316186,3.1622776601683795,0.00445,0.00215443,0.00464159,0.537,0.5,0.6,0.252,0.2,0.3,0.24,0.0529,1.2,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
828,1 - 1 - 12001,1 - 1 - 2001,820.0,1.8275666882497066,1.7782013384316186,3.1622776601683795,0.00442,0.00215443,0.00464159,0.636,0.6,0.7,0.24,0.2,0.3,-0.072,0.0676,5.15,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
837,1 - 1 - 12001,1 - 1 - 2001,820.0,1.8248287590894658,1.7782013384316186,3.1622776601683795,0.00448,0.00215443,0.00464159,0.754,0.7,0.8,0.394,0.3,0.5,0.308,0.0571,0.588,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
862,1 - 1 - 12001,1 - 1 - 2001,820.0,2.0663978319771825,1.7782013384316186,3.1622776601683795,0.00762,0.00464159,0.01,0.0671,0.05,0.1,0.0308,0.0,0.05,-0.00692,0.00275,3.52,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
863,1 - 1 - 12001,1 - 1 - 2001,820.0,2.0542638584174138,1.7782013384316186,3.1622776601683795,0.00762,0.00464159,0.01,0.121,0.1,0.15,0.0316,0.0,0.05,-0.0301,0.00513,0.897,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
864,1 - 1 - 12001,1 - 1 - 2001,820.0,2.0518284528683193,1.7782013384316186,3.1622776601683795,0.00757,0.00464159,0.01,0.172,0.15,0.2,0.0313,0.0,0.05,0.0183,0.00718,2.47,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
865,1 - 1 - 12001,1 - 1 - 2001,820.0,2.0518284528683193,1.7782013384316186,3.1622776601683795,0.00754,0.00464159,0.01,0.241,0.2,0.3,0.0311,0.0,0.05,-0.00821,0.00776,1.89,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
866,1 - 1 - 12001,1 - 1 - 2001,820.0,2.0445048300260873,1.7782013384316186,3.1622776601683795,0.0077,0.00464159,0.01,0.341,0.3,0.4,0.0333,0.0,0.05,-0.00791,0.0124,0.703,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
867,1 - 1 - 12001,1 - 1 - 2001,820.0,2.04939015319192,1.7782013384316186,3.1622776601683795,0.00777,0.00464159,0.01,0.444,0.4,0.5,0.0309,0.0,0.05,-0.0283,0.0195,3.94,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
868,1 - 1 - 12001,1 - 1 - 2001,820.0,2.0199009876724157,1.7782013384316186,3.1622776601683795,0.00768,0.00464159,0.01,0.546,0.5,0.6,0.031,0.0,0.05,-0.192,0.0318,0.115,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
869,1 - 1 - 12001,1 - 1 - 2001,820.0,2.0149441679609885,1.7782013384316186,3.1622776601683795,0.00751,0.00464159,0.01,0.637,0.6,0.7,0.0344,0.0,0.05,-0.22,0.0394,0.275,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
870,1 - 1 - 12001,1 - 1 - 2001,820.0,2.004993765576342,1.7782013384316186,3.1622776601683795,0.00755,0.00464159,0.01,0.748,0.7,0.8,0.0307,0.0,0.05,-0.256,0.0504,0.568,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
871,1 - 1 - 12001,1 - 1 - 2001,820.0,2.0223748416156684,1.7782013384316186,3.1622776601683795,0.00732,0.00464159,0.01,0.85,0.8,0.9,0.0306,0.0,0.05,0.27,0.0797,1.99,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
875,1 - 1 - 12001,1 - 1 - 2001,820.0,2.0518284528683193,1.7782013384316186,3.1622776601683795,0.00765,0.00464159,0.01,0.172,0.15,0.2,0.0765,0.05,0.1,0.0276,0.00413,0.551,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
876,1 - 1 - 12001,1 - 1 - 2001,820.0,2.0445048300260873,1.7782013384316186,3.1622776601683795,0.00767,0.00464159,0.01,0.24,0.2,0.3,0.0764,0.05,0.1,0.029,0.00432,0.548,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
877,1 - 1 - 12001,1 - 1 - 2001,820.0,2.046948949045872,1.7782013384316186,3.1622776601683795,0.00761,0.00464159,0.01,0.343,0.3,0.4,0.0766,0.05,0.1,0.104,0.00675,0.14,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
878,1 - 1 - 12001,1 - 1 - 2001,820.0,2.039607805437114,1.7782013384316186,3.1622776601683795,0.00758,0.00464159,0.01,0.441,0.4,0.5,0.075,0.05,0.1,-0.0404,0.0102,0.182,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
879,1 - 1 - 12001,1 - 1 - 2001,820.0,2.04939015319192,1.7782013384316186,3.1622776601683795,0.00764,0.00464159,0.01,0.544,0.5,0.6,0.0767,0.05,0.1,0.00721,0.0157,1.59,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
880,1 - 1 - 12001,1 - 1 - 2001,820.0,2.0420577856662137,1.7782013384316186,3.1622776601683795,0.00774,0.00464159,0.01,0.64,0.6,0.7,0.0767,0.05,0.1,-0.0513,0.024,0.238,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
881,1 - 1 - 12001,1 - 1 - 2001,820.0,2.0322401432901573,1.7782013384316186,3.1622776601683795,0.00779,0.00464159,0.01,0.74,0.7,0.8,0.0771,0.05,0.1,-0.0551,0.0279,1.36,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
882,1 - 1 - 12001,1 - 1 - 2001,820.0,2.073644135332772,1.7782013384316186,3.1622776601683795,0.00782,0.00464159,0.01,0.847,0.8,0.9,0.0752,0.05,0.1,-0.237,0.0408,0.31,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
888,1 - 1 - 12001,1 - 1 - 2001,820.0,2.04939015319192,1.7782013384316186,3.1622776601683795,0.00764,0.00464159,0.01,0.342,0.3,0.4,0.151,0.1,0.2,0.000366,0.00327,12.7,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
889,1 - 1 - 12001,1 - 1 - 2001,820.0,2.0346989949375804,1.7782013384316186,3.1622776601683795,0.00757,0.00464159,0.01,0.442,0.4,0.5,0.152,0.1,0.2,-0.00899,0.00492,3.17,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
