Name,Siv.en_10x100_kp_ACC_opt8
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,3467
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
0,1 - 1 - 12042,1 - 1 - 2042,4000.0,1.1,1.0,1.7782013384316186,0.000384,0.000215443,0.000464159,0.0276,0.0,0.05,0.033,0.0,0.05,0.0471,0.00642,1.04,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1,1 - 1 - 12042,1 - 1 - 2042,4000.0,1.0954451150103321,1.0,1.7782013384316186,0.000393,0.000215443,0.000464159,0.0699,0.05,0.1,0.0329,0.0,0.05,-0.0111,0.00988,5.32,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
2,1 - 1 - 12042,1 - 1 - 2042,4000.0,1.0862780491200215,1.0,1.7782013384316186,0.000394,0.000215443,0.000464159,0.121,0.1,0.15,0.0311,0.0,0.05,0.0335,0.0161,0.0837,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
3,1 - 1 - 12042,1 - 1 - 2042,4000.0,1.0770329614269007,1.0,1.7782013384316186,0.000402,0.000215443,0.000464159,0.171,0.15,0.2,0.0307,0.0,0.05,-0.00611,0.0206,2.52e-11,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4,1 - 1 - 12042,1 - 1 - 2042,4000.0,1.0770329614269007,1.0,1.7782013384316186,0.000409,0.000215443,0.000464159,0.241,0.2,0.3,0.0306,0.0,0.05,0.0179,0.0201,0.834,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
5,1 - 1 - 12042,1 - 1 - 2042,4000.0,1.0723805294763609,1.0,1.7782013384316186,0.000409,0.000215443,0.000464159,0.344,0.3,0.4,0.0324,0.0,0.05,-0.109,0.0245,0.175,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
6,1 - 1 - 12042,1 - 1 - 2042,4000.0,1.0723805294763609,1.0,1.7782013384316186,0.000405,0.000215443,0.000464159,0.442,0.4,0.5,0.0339,0.0,0.05,0.127,0.0368,3.51e-12,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
7,1 - 1 - 12042,1 - 1 - 2042,4000.0,1.0723805294763609,1.0,1.7782013384316186,0.000416,0.000215443,0.000464159,0.548,0.5,0.6,0.0278,0.0,0.05,0.0506,0.046,1.51e-12,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
8,1 - 1 - 12042,1 - 1 - 2042,4000.0,1.1,1.0,1.7782013384316186,0.000387,0.000215443,0.000464159,0.0334,0.0,0.05,0.0733,0.05,0.1,0.0182,0.00463,0.451,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
9,1 - 1 - 12042,1 - 1 - 2042,4000.0,1.0908712114635715,1.0,1.7782013384316186,0.000385,0.000215443,0.000464159,0.0708,0.05,0.1,0.0765,0.05,0.1,-0.0233,0.00491,0.945,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
10,1 - 1 - 12042,1 - 1 - 2042,4000.0,1.0954451150103321,1.0,1.7782013384316186,0.000388,0.000215443,0.000464159,0.121,0.1,0.15,0.0775,0.05,0.1,0.0562,0.00786,0.0825,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
