Name,Siv.en_18x100_km_HB_opt6
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,3642
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
0,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0677078252031311,1.0,1.7782013384316186,0.000192,0.0001,0.000215443,0.0236,0.0,0.05,0.0326,0.0,0.05,0.0283,0.00939,0.647,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
1,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0488088481701516,1.0,1.7782013384316186,0.000197,0.0001,0.000215443,0.0641,0.05,0.1,0.0379,0.0,0.05,-0.0431,0.0282,1.23,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
2,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0677078252031311,1.0,1.7782013384316186,0.000191,0.0001,0.000215443,0.0337,0.0,0.05,0.0729,0.05,0.1,-0.0219,0.00699,13.6,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
3,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0630145812734648,1.0,1.7782013384316186,0.000191,0.0001,0.000215443,0.0682,0.05,0.1,0.079,0.05,0.1,0.0121,0.00834,76.9,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0583005244258363,1.0,1.7782013384316186,0.000193,0.0001,0.000215443,0.119,0.1,0.15,0.082,0.05,0.1,-0.00599,0.0185,1.94,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
5,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0392304845413265,1.0,1.7782013384316186,0.000198,0.0001,0.000215443,0.169,0.15,0.2,0.0803,0.05,0.1,0.219,0.0414,0.256,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
6,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0770329614269007,1.0,1.7782013384316186,0.000191,0.0001,0.000215443,0.042,0.0,0.05,0.122,0.1,0.2,-0.0386,0.00959,1.26,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
7,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0677078252031311,1.0,1.7782013384316186,0.00019,0.0001,0.000215443,0.073,0.05,0.1,0.15,0.1,0.2,-0.0336,0.00368,0.745,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
8,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0630145812734648,1.0,1.7782013384316186,0.00019,0.0001,0.000215443,0.121,0.1,0.15,0.156,0.1,0.2,-0.0223,0.00522,1.27,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
9,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0630145812734648,1.0,1.7782013384316186,0.000191,0.0001,0.000215443,0.17,0.15,0.2,0.16,0.1,0.2,0.0312,0.00829,1.03,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
10,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0535653752852738,1.0,1.7782013384316186,0.000194,0.0001,0.000215443,0.236,0.2,0.3,0.16,0.1,0.2,-0.0355,0.0101,1.08,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
11,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0392304845413265,1.0,1.7782013384316186,0.000199,0.0001,0.000215443,0.343,0.3,0.4,0.164,0.1,0.2,-0.148,0.0253,0.222,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
12,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.03440804327886,1.0,1.7782013384316186,0.000208,0.0001,0.000215443,0.445,0.4,0.5,0.159,0.1,0.2,-0.0651,0.0539,1.63,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
13,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0723805294763609,1.0,1.7782013384316186,0.000191,0.0001,0.000215443,0.085,0.05,0.1,0.237,0.2,0.3,0.00191,0.00548,154.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
14,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0630145812734648,1.0,1.7782013384316186,0.00019,0.0001,0.000215443,0.122,0.1,0.15,0.248,0.2,0.3,0.0135,0.00418,1.49,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
15,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0630145812734648,1.0,1.7782013384316186,0.00019,0.0001,0.000215443,0.172,0.15,0.2,0.251,0.2,0.3,0.0106,0.00547,0.889,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
16,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0583005244258363,1.0,1.7782013384316186,0.00019,0.0001,0.000215443,0.239,0.2,0.3,0.253,0.2,0.3,-0.0311,0.00587,0.043,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
17,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0583005244258363,1.0,1.7782013384316186,0.000194,0.0001,0.000215443,0.339,0.3,0.4,0.256,0.2,0.3,-0.045,0.0111,1.63,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
18,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0488088481701516,1.0,1.7782013384316186,0.000197,0.0001,0.000215443,0.439,0.4,0.5,0.251,0.2,0.3,-0.0285,0.0204,0.404,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
19,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.044030650891055,1.0,1.7782013384316186,0.000201,0.0001,0.000215443,0.539,0.5,0.6,0.255,0.2,0.3,-0.113,0.0393,0.473,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
20,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.118033988749895,1.0,1.7782013384316186,0.000197,0.0001,0.000215443,0.095,0.05,0.1,0.312,0.3,0.5,0.106,0.0365,3.6,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
21,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0770329614269007,1.0,1.7782013384316186,0.000191,0.0001,0.000215443,0.127,0.1,0.15,0.357,0.3,0.5,-0.00613,0.00423,1.63,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
22,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0630145812734648,1.0,1.7782013384316186,0.000189,0.0001,0.000215443,0.172,0.15,0.2,0.391,0.3,0.5,0.00246,0.00376,2.08,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
23,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0630145812734648,1.0,1.7782013384316186,0.00019,0.0001,0.000215443,0.241,0.2,0.3,0.393,0.3,0.5,0.00164,0.00333,6.73,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
24,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0630145812734648,1.0,1.7782013384316186,0.00019,0.0001,0.000215443,0.34,0.3,0.4,0.404,0.3,0.5,0.00298,0.00513,4.66,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
25,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0630145812734648,1.0,1.7782013384316186,0.000192,0.0001,0.000215443,0.442,0.4,0.5,0.403,0.3,0.5,-0.00182,0.00884,18.3,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
26,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0583005244258363,1.0,1.7782013384316186,0.000194,0.0001,0.000215443,0.54,0.5,0.6,0.408,0.3,0.5,0.000127,0.0126,1570.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
27,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0535653752852738,1.0,1.7782013384316186,0.000196,0.0001,0.000215443,0.641,0.6,0.7,0.408,0.3,0.5,0.174,0.021,0.942,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
28,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0488088481701516,1.0,1.7782013384316186,0.000201,0.0001,0.000215443,0.746,0.7,0.8,0.411,0.3,0.5,0.034,0.04,0.706,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
29,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0392304845413265,1.0,1.7782013384316186,0.000201,0.0001,0.000215443,0.832,0.8,0.9,0.398,0.3,0.5,-0.17,0.0478,1.06,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
30,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0816653826391966,1.0,1.7782013384316186,0.000193,0.0001,0.000215443,0.182,0.15,0.2,0.546,0.5,0.7,-0.0427,0.00857,0.0515,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
31,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0677078252031311,1.0,1.7782013384316186,0.000189,0.0001,0.000215443,0.245,0.2,0.3,0.582,0.5,0.7,-0.0153,0.00421,1.18,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
32,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0630145812734648,1.0,1.7782013384316186,0.00019,0.0001,0.000215443,0.343,0.3,0.4,0.589,0.5,0.7,-0.011,0.00543,1.34,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
33,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0630145812734648,1.0,1.7782013384316186,0.00019,0.0001,0.000215443,0.443,0.4,0.5,0.594,0.5,0.7,0.00952,0.00778,4.44,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
34,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0630145812734648,1.0,1.7782013384316186,0.00019,0.0001,0.000215443,0.543,0.5,0.6,0.587,0.5,0.7,0.0916,0.0116,4.89,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
35,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0583005244258363,1.0,1.7782013384316186,0.000192,0.0001,0.000215443,0.642,0.6,0.7,0.584,0.5,0.7,-0.0639,0.0171,1.16,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
36,1 - 1 - 12052,1 - 1 - 2052,7200.0,1.0583005244258363,1.0,1.7782013384316186,0.000194,0.0001,0.000215443,0.739,0.7,0.8,0.589,0.5,0.7,-0.113,0.0259,1.09,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
