Name,Siv.en_18x100_kp_HB_opt8
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,3899
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
0,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.0630145812734648,1.0,1.7782013384316186,0.00019,0.0001,0.000215443,0.0234,0.0,0.05,0.0322,0.0,0.05,-0.0569,0.00938,1.25,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
1,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.0535653752852738,1.0,1.7782013384316186,0.000198,0.0001,0.000215443,0.0657,0.05,0.1,0.0378,0.0,0.05,-0.0209,0.026,8.02,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
2,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.0677078252031311,1.0,1.7782013384316186,0.000191,0.0001,0.000215443,0.0337,0.0,0.05,0.0735,0.05,0.1,-0.0562,0.00703,1.49,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
3,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.0630145812734648,1.0,1.7782013384316186,0.000191,0.0001,0.000215443,0.068,0.05,0.1,0.0781,0.05,0.1,-0.0447,0.00846,0.143,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.0535653752852738,1.0,1.7782013384316186,0.000194,0.0001,0.000215443,0.119,0.1,0.15,0.0817,0.05,0.1,0.121,0.02,0.513,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
5,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.0392304845413265,1.0,1.7782013384316186,0.000197,0.0001,0.000215443,0.168,0.15,0.2,0.0811,0.05,0.1,-0.0279,0.0465,13.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
6,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.03440804327886,1.0,1.7782013384316186,0.000203,0.0001,0.000215443,0.232,0.2,0.3,0.0825,0.05,0.1,0.0407,0.0615,0.316,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
7,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.0723805294763609,1.0,1.7782013384316186,0.000191,0.0001,0.000215443,0.0418,0.0,0.05,0.12,0.1,0.2,-0.0107,0.0097,0.134,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
8,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.0677078252031311,1.0,1.7782013384316186,0.00019,0.0001,0.000215443,0.0728,0.05,0.1,0.148,0.1,0.2,0.00799,0.00376,0.259,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
9,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.0630145812734648,1.0,1.7782013384316186,0.00019,0.0001,0.000215443,0.12,0.1,0.15,0.157,0.1,0.2,0.00869,0.0052,0.618,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
10,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.0583005244258363,1.0,1.7782013384316186,0.000191,0.0001,0.000215443,0.172,0.15,0.2,0.158,0.1,0.2,-0.0209,0.0087,0.391,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
11,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.0583005244258363,1.0,1.7782013384316186,0.000195,0.0001,0.000215443,0.234,0.2,0.3,0.161,0.1,0.2,0.0121,0.0104,6.31,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
12,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.044030650891055,1.0,1.7782013384316186,0.000202,0.0001,0.000215443,0.342,0.3,0.4,0.161,0.1,0.2,0.114,0.0202,0.349,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
13,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.03440804327886,1.0,1.7782013384316186,0.000204,0.0001,0.000215443,0.439,0.4,0.5,0.162,0.1,0.2,-0.0391,0.0419,4.46,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
14,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.0723805294763609,1.0,1.7782013384316186,0.000191,0.0001,0.000215443,0.0841,0.05,0.1,0.235,0.2,0.3,-0.0164,0.00535,1.35,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
15,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.0630145812734648,1.0,1.7782013384316186,0.000189,0.0001,0.000215443,0.122,0.1,0.15,0.249,0.2,0.3,0.066,0.00418,0.00373,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
16,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.0677078252031311,1.0,1.7782013384316186,0.000191,0.0001,0.000215443,0.172,0.15,0.2,0.25,0.2,0.3,-0.00816,0.00541,2.34,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
17,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.0630145812734648,1.0,1.7782013384316186,0.000191,0.0001,0.000215443,0.239,0.2,0.3,0.252,0.2,0.3,-0.0221,0.006,0.535,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
18,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.0535653752852738,1.0,1.7782013384316186,0.000194,0.0001,0.000215443,0.341,0.3,0.4,0.253,0.2,0.3,0.0885,0.0107,0.285,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
19,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.044030650891055,1.0,1.7782013384316186,0.000199,0.0001,0.000215443,0.437,0.4,0.5,0.255,0.2,0.3,0.0765,0.0184,1.4,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
20,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.03440804327886,1.0,1.7782013384316186,0.000198,0.0001,0.000215443,0.533,0.5,0.6,0.258,0.2,0.3,-0.0618,0.0379,1.07,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
21,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.131370849898476,1.0,1.7782013384316186,0.000201,0.0001,0.000215443,0.0944,0.05,0.1,0.317,0.3,0.5,-0.0313,0.0328,4.64,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
22,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.0723805294763609,1.0,1.7782013384316186,0.000191,0.0001,0.000215443,0.128,0.1,0.15,0.357,0.3,0.5,-0.0274,0.00417,0.0419,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
23,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.0677078252031311,1.0,1.7782013384316186,0.00019,0.0001,0.000215443,0.172,0.15,0.2,0.391,0.3,0.5,-0.0107,0.00362,0.911,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
24,1 - 1 - 12042,1 - 1 - 2042,7200.0,1.0677078252031311,1.0,1.7782013384316186,0.00019,0.0001,0.000215443,0.242,0.2,0.3,0.395,0.3,0.5,0.0439,0.00332,0.162,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
