Name,Siv.ep_18x100_kp_ACC_opt6
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,4025
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
0,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.0677078252031311,1.0,1.7782013384316186,0.00019,0.0001,0.000215443,0.0234,0.0,0.05,0.0327,0.0,0.05,-0.0378,0.00897,1.26,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
1,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.0535653752852738,1.0,1.7782013384316186,0.000193,0.0001,0.000215443,0.0661,0.05,0.1,0.0388,0.0,0.05,0.223,0.0262,0.955,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
2,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.0677078252031311,1.0,1.7782013384316186,0.000188,0.0001,0.000215443,0.0338,0.0,0.05,0.0726,0.05,0.1,-0.0115,0.00609,1.87,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
3,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.0677078252031311,1.0,1.7782013384316186,0.000192,0.0001,0.000215443,0.0677,0.05,0.1,0.0788,0.05,0.1,0.0221,0.00763,29.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.0488088481701516,1.0,1.7782013384316186,0.000194,0.0001,0.000215443,0.121,0.1,0.15,0.0822,0.05,0.1,-0.0264,0.0161,1.93,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
5,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.0392304845413265,1.0,1.7782013384316186,0.000199,0.0001,0.000215443,0.17,0.15,0.2,0.0797,0.05,0.1,0.0294,0.0335,7.38e-12,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
6,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.019803902718557,1.0,1.7782013384316186,0.000204,0.0001,0.000215443,0.231,0.2,0.3,0.0861,0.05,0.1,-0.152,0.0473,1.43e-12,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
7,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.0770329614269007,1.0,1.7782013384316186,0.000192,0.0001,0.000215443,0.0422,0.0,0.05,0.122,0.1,0.2,0.00501,0.00902,0.997,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
8,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.0677078252031311,1.0,1.7782013384316186,0.000189,0.0001,0.000215443,0.0723,0.05,0.1,0.15,0.1,0.2,-0.0416,0.00333,1.95,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
9,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.0630145812734648,1.0,1.7782013384316186,0.000189,0.0001,0.000215443,0.121,0.1,0.15,0.156,0.1,0.2,0.0601,0.00489,0.421,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
10,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.0583005244258363,1.0,1.7782013384316186,0.000191,0.0001,0.000215443,0.171,0.15,0.2,0.159,0.1,0.2,-0.037,0.00757,0.13,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
11,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.0583005244258363,1.0,1.7782013384316186,0.000195,0.0001,0.000215443,0.237,0.2,0.3,0.16,0.1,0.2,0.00673,0.0091,0.83,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
12,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.03440804327886,1.0,1.7782013384316186,0.0002,0.0001,0.000215443,0.339,0.3,0.4,0.164,0.1,0.2,-0.185,0.0203,0.115,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
13,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.03440804327886,1.0,1.7782013384316186,0.000204,0.0001,0.000215443,0.442,0.4,0.5,0.158,0.1,0.2,0.494,0.0393,7.88e-13,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
14,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.0723805294763609,1.0,1.7782013384316186,0.000191,0.0001,0.000215443,0.0845,0.05,0.1,0.236,0.2,0.3,-0.0216,0.00467,13.8,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
15,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.0630145812734648,1.0,1.7782013384316186,0.00019,0.0001,0.000215443,0.122,0.1,0.15,0.248,0.2,0.3,0.00141,0.00379,3.27,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
16,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.0677078252031311,1.0,1.7782013384316186,0.00019,0.0001,0.000215443,0.172,0.15,0.2,0.25,0.2,0.3,-0.0634,0.00476,0.0359,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
17,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.0583005244258363,1.0,1.7782013384316186,0.000191,0.0001,0.000215443,0.239,0.2,0.3,0.253,0.2,0.3,-0.00474,0.00528,0.822,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
18,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.0583005244258363,1.0,1.7782013384316186,0.000195,0.0001,0.000215443,0.341,0.3,0.4,0.257,0.2,0.3,-0.0567,0.00965,0.0401,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
19,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.0488088481701516,1.0,1.7782013384316186,0.000198,0.0001,0.000215443,0.439,0.4,0.5,0.257,0.2,0.3,-0.027,0.0166,0.773,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
20,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.03440804327886,1.0,1.7782013384316186,0.0002,0.0001,0.000215443,0.542,0.5,0.6,0.254,0.2,0.3,0.0745,0.0295,6.94,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
21,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.0295630140987,1.0,1.7782013384316186,0.000201,0.0001,0.000215443,0.638,0.6,0.7,0.259,0.2,0.3,0.186,0.0488,0.946,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
22,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.1357816691600546,1.0,1.7782013384316186,0.000201,0.0001,0.000215443,0.0942,0.05,0.1,0.315,0.3,0.5,-0.412,0.0269,0.24,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
23,1 - 1 - 12002,1 - 1 - 2002,7200.0,1.0723805294763609,1.0,1.7782013384316186,0.000191,0.0001,0.000215443,0.129,0.1,0.15,0.358,0.3,0.5,-0.0279,0.00391,0.183,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
