Name,Siv.ep_18x275_km_ACC_opt8
Comment,Ralf's pseudo data for EIC (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,4202
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
0,1 - 1 - 12022,1 - 1 - 2022,19800.0,1.2767145334803705,1.0,1.7782013384316186,0.000153,0.0001,0.000215443,0.0255,0.0,0.05,0.0327,0.0,0.05,0.0153,0.00231,1.52,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
1,1 - 1 - 12022,1 - 1 - 2022,19800.0,1.224744871391589,1.0,1.7782013384316186,0.00016,0.0001,0.000215443,0.0708,0.05,0.1,0.0315,0.0,0.05,0.00249,0.00352,9.86,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
2,1 - 1 - 12022,1 - 1 - 2022,19800.0,1.2124355652982142,1.0,1.7782013384316186,0.00016,0.0001,0.000215443,0.122,0.1,0.15,0.0319,0.0,0.05,0.000228,0.00489,58.8,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
3,1 - 1 - 12022,1 - 1 - 2022,19800.0,1.2165525060596438,1.0,1.7782013384316186,0.000162,0.0001,0.000215443,0.172,0.15,0.2,0.0316,0.0,0.05,-0.0822,0.00624,2.24e-12,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4,1 - 1 - 12022,1 - 1 - 2022,19800.0,1.2206555615733703,1.0,1.7782013384316186,0.000161,0.0001,0.000215443,0.243,0.2,0.3,0.0314,0.0,0.05,0.0868,0.00561,5.5e-12,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
5,1 - 1 - 12022,1 - 1 - 2022,19800.0,1.1916375287812984,1.0,1.7782013384316186,0.000162,0.0001,0.000215443,0.346,0.3,0.4,0.0314,0.0,0.05,-0.0225,0.00818,4.85e-10,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
6,1 - 1 - 12022,1 - 1 - 2022,19800.0,1.1958260743101399,1.0,1.7782013384316186,0.000163,0.0001,0.000215443,0.443,0.4,0.5,0.0323,0.0,0.05,-0.0455,0.00984,3.94e-11,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
7,1 - 1 - 12022,1 - 1 - 2022,19800.0,1.2,1.0,1.7782013384316186,0.000159,0.0001,0.000215443,0.543,0.5,0.6,0.0313,0.0,0.05,0.128,0.0134,0.0655,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
8,1 - 1 - 12022,1 - 1 - 2022,19800.0,1.2,1.0,1.7782013384316186,0.000161,0.0001,0.000215443,0.636,0.6,0.7,0.033,0.0,0.05,-0.198,0.027,0.0417,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
9,1 - 1 - 12022,1 - 1 - 2022,19800.0,1.1916375287812984,1.0,1.7782013384316186,0.000156,0.0001,0.000215443,0.747,0.7,0.8,0.0336,0.0,0.05,-0.26,0.0449,0.318,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
10,1 - 1 - 12022,1 - 1 - 2022,19800.0,1.2,1.0,1.7782013384316186,0.00016,0.0001,0.000215443,0.854,0.8,0.9,0.0353,0.0,0.05,0.578,0.0524,0.274,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
