Name,Siv.ep_10x100_kp_ECCE_cut
Comment,Ralf's pseudo data for EIC-ECCE (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,1321
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
976,1 - 1 - 12002,1 - 1 - 2002,4000.0,1.835755975068582,1.7782013384316186,3.1622776601683795,0.000942,0.000464159,0.001,0.347,0.3,0.4,0.154,0.1,0.2,0.00195,0.049,55.2,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1019,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.0445048300260873,1.7782013384316186,3.1622776601683795,0.00165,0.001,0.00215443,0.0729,0.05,0.1,0.0297,0.0,0.05,0.22,0.0163,0.434,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1020,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.118962010041709,1.7782013384316186,3.1622776601683795,0.00159,0.001,0.00215443,0.124,0.1,0.15,0.0315,0.0,0.05,-0.0643,0.0138,0.977,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1021,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.12367605815953,1.7782013384316186,3.1622776601683795,0.00164,0.001,0.00215443,0.172,0.15,0.2,0.0309,0.0,0.05,-0.123,0.0168,0.176,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1022,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.0639767440550294,1.7782013384316186,3.1622776601683795,0.00162,0.001,0.00215443,0.241,0.2,0.3,0.0319,0.0,0.05,0.0499,0.0127,1.07,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1023,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.0615528128088303,1.7782013384316186,3.1622776601683795,0.00164,0.001,0.00215443,0.341,0.3,0.4,0.0302,0.0,0.05,0.0344,0.0204,2.42,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1024,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.029778313018444,1.7782013384316186,3.1622776601683795,0.00162,0.001,0.00215443,0.443,0.4,0.5,0.0319,0.0,0.05,-0.00628,0.0256,7.84,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1025,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.0,1.7782013384316186,3.1622776601683795,0.00164,0.001,0.00215443,0.546,0.5,0.6,0.0315,0.0,0.05,0.249,0.0359,2.18,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1028,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.090454496036687,1.7782013384316186,3.1622776601683795,0.00161,0.001,0.00215443,0.124,0.1,0.15,0.0764,0.05,0.1,0.014,0.00777,4.57,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1029,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.071231517720798,1.7782013384316186,3.1622776601683795,0.00161,0.001,0.00215443,0.172,0.15,0.2,0.0766,0.05,0.1,0.0228,0.0085,1.82,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1030,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.080865204668481,1.7782013384316186,3.1622776601683795,0.00164,0.001,0.00215443,0.24,0.2,0.3,0.0743,0.05,0.1,-0.0316,0.00721,0.48,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1031,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.0371548787463363,1.7782013384316186,3.1622776601683795,0.00162,0.001,0.00215443,0.345,0.3,0.4,0.0751,0.05,0.1,-0.0436,0.0112,0.803,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1032,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.0591260281974,1.7782013384316186,3.1622776601683795,0.00161,0.001,0.00215443,0.443,0.4,0.5,0.0779,0.05,0.1,-0.04,0.0136,0.146,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1033,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.0248456731316584,1.7782013384316186,3.1622776601683795,0.00166,0.001,0.00215443,0.546,0.5,0.6,0.0758,0.05,0.1,-0.0559,0.0188,1.73,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1034,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.1,1.7782013384316186,3.1622776601683795,0.0017,0.001,0.00215443,0.635,0.6,0.7,0.078,0.05,0.1,0.448,0.0341,0.624,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1035,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.0124611797498106,1.7782013384316186,3.1622776601683795,0.00159,0.001,0.00215443,0.745,0.7,0.8,0.0751,0.05,0.1,0.0241,0.0631,6.25,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1040,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.0639767440550294,1.7782013384316186,3.1622776601683795,0.00165,0.001,0.00215443,0.243,0.2,0.3,0.152,0.1,0.2,-0.00552,0.00374,2.65,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1041,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.071231517720798,1.7782013384316186,3.1622776601683795,0.00165,0.001,0.00215443,0.345,0.3,0.4,0.151,0.1,0.2,0.05,0.00532,0.187,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1042,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.04939015319192,1.7782013384316186,3.1622776601683795,0.00165,0.001,0.00215443,0.442,0.4,0.5,0.15,0.1,0.2,0.0227,0.00654,0.299,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1043,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.0371548787463363,1.7782013384316186,3.1622776601683795,0.00164,0.001,0.00215443,0.544,0.5,0.6,0.149,0.1,0.2,-0.0808,0.00964,0.467,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1044,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.0420577856662137,1.7782013384316186,3.1622776601683795,0.00164,0.001,0.00215443,0.637,0.6,0.7,0.152,0.1,0.2,-0.0345,0.015,2.11,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1045,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.0518284528683193,1.7782013384316186,3.1622776601683795,0.00164,0.001,0.00215443,0.746,0.7,0.8,0.152,0.1,0.2,0.0223,0.0247,4.24,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1046,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.0248456731316584,1.7782013384316186,3.1622776601683795,0.00159,0.001,0.00215443,0.841,0.8,0.9,0.155,0.1,0.2,0.0314,0.0365,15.8,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1053,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.039607805437114,1.7782013384316186,3.1622776601683795,0.00165,0.001,0.00215443,0.442,0.4,0.5,0.247,0.2,0.3,0.0201,0.00625,0.298,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1054,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.046948949045872,1.7782013384316186,3.1622776601683795,0.00164,0.001,0.00215443,0.545,0.5,0.6,0.25,0.2,0.3,0.0541,0.00799,0.67,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1055,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.0542638584174138,1.7782013384316186,3.1622776601683795,0.00168,0.001,0.00215443,0.64,0.6,0.7,0.249,0.2,0.3,-0.0287,0.0127,1.5,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1056,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.0346989949375804,1.7782013384316186,3.1622776601683795,0.00167,0.001,0.00215443,0.745,0.7,0.8,0.254,0.2,0.3,0.0387,0.0202,1.17,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1057,1 - 1 - 12002,1 - 1 - 2002,4000.0,1.9924858845171276,1.7782013384316186,3.1622776601683795,0.00161,0.001,0.00215443,0.842,0.8,0.9,0.254,0.2,0.3,-0.25,0.034,0.0122,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1058,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.0174241001832014,1.7782013384316186,3.1622776601683795,0.0015,0.001,0.00215443,0.938,0.9,1.0,0.244,0.2,0.3,0.433,0.0468,0.628,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1068,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.0518284528683193,1.7782013384316186,3.1622776601683795,0.00169,0.001,0.00215443,0.743,0.7,0.8,0.394,0.3,0.5,0.046,0.0117,0.566,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1069,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.0542638584174138,1.7782013384316186,3.1622776601683795,0.00166,0.001,0.00215443,0.842,0.8,0.9,0.39,0.3,0.5,0.0623,0.0168,0.0589,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1070,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.0149441679609885,1.7782013384316186,3.1622776601683795,0.00154,0.001,0.00215443,0.93,0.9,1.0,0.395,0.3,0.5,-0.167,0.033,0.216,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1082,1 - 1 - 12002,1 - 1 - 2002,4000.0,2.1563858652847827,1.7782013384316186,3.1622776601683795,0.00177,0.001,0.00215443,0.939,0.9,1.0,0.584,0.5,0.7,-0.127,0.0351,0.484,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
