Name,Siv.ep_10x100_pip_ECCE_cut
Comment,Ralf's pseudo data for EIC-ECCE (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,1788
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
1053,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.8303005217723127,1.7782013384316186,3.1622776601683795,0.000948,0.000464159,0.001,0.071,0.05,0.1,0.0286,0.0,0.05,0.193,0.0236,1.17,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1054,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.8220867158288598,1.7782013384316186,3.1622776601683795,0.000948,0.000464159,0.001,0.127,0.1,0.15,0.0336,0.0,0.05,0.247,0.0345,1.09,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1055,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.8275666882497066,1.7782013384316186,3.1622776601683795,0.000961,0.000464159,0.001,0.173,0.15,0.2,0.0313,0.0,0.05,-0.15,0.041,1.24,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1056,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.8303005217723127,1.7782013384316186,3.1622776601683795,0.000944,0.000464159,0.001,0.242,0.2,0.3,0.0351,0.0,0.05,0.223,0.0666,2.78,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1060,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.8220867158288598,1.7782013384316186,3.1622776601683795,0.000949,0.000464159,0.001,0.172,0.15,0.2,0.0736,0.05,0.1,0.0202,0.0261,2.43,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1061,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.8220867158288598,1.7782013384316186,3.1622776601683795,0.000942,0.000464159,0.001,0.238,0.2,0.3,0.0816,0.05,0.1,0.0584,0.0309,0.534,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1062,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.8220867158288598,1.7782013384316186,3.1622776601683795,0.000952,0.000464159,0.001,0.34,0.3,0.4,0.0763,0.05,0.1,0.538,0.0561,0.838,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1068,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.8275666882497066,1.7782013384316186,3.1622776601683795,0.000947,0.000464159,0.001,0.338,0.3,0.4,0.15,0.1,0.2,0.216,0.0224,0.461,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1069,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.8248287590894658,1.7782013384316186,3.1622776601683795,0.000943,0.000464159,0.001,0.441,0.4,0.5,0.158,0.1,0.2,0.0972,0.0263,1.23,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1070,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.835755975068582,1.7782013384316186,3.1622776601683795,0.000955,0.000464159,0.001,0.544,0.5,0.6,0.158,0.1,0.2,-0.197,0.0445,1.5,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1078,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.8248287590894658,1.7782013384316186,3.1622776601683795,0.000942,0.000464159,0.001,0.547,0.5,0.6,0.251,0.2,0.3,-0.0929,0.0337,1.14,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1079,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.833030277982336,1.7782013384316186,3.1622776601683795,0.000942,0.000464159,0.001,0.649,0.6,0.7,0.247,0.2,0.3,0.396,0.046,0.171,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1080,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.8248287590894658,1.7782013384316186,3.1622776601683795,0.000959,0.000464159,0.001,0.739,0.7,0.8,0.249,0.2,0.3,0.204,0.0582,0.371,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1090,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.835755975068582,1.7782013384316186,3.1622776601683795,0.000947,0.000464159,0.001,0.741,0.7,0.8,0.396,0.3,0.5,0.168,0.0472,2.35,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1091,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.8193405398660252,1.7782013384316186,3.1622776601683795,0.000945,0.000464159,0.001,0.845,0.8,0.9,0.403,0.3,0.5,0.113,0.0414,1.95,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1139,1 - 1 - 12001,1 - 1 - 2001,4000.0,2.1118712081942874,1.7782013384316186,3.1622776601683795,0.00158,0.001,0.00215443,0.0713,0.05,0.1,0.0314,0.0,0.05,0.00245,0.00397,2.09,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1140,1 - 1 - 12001,1 - 1 - 2001,4000.0,2.0952326839756963,1.7782013384316186,3.1622776601683795,0.00158,0.001,0.00215443,0.123,0.1,0.15,0.0316,0.0,0.05,-0.0537,0.00485,1.02,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1141,1 - 1 - 12001,1 - 1 - 2001,4000.0,2.0639767440550294,1.7782013384316186,3.1622776601683795,0.00162,0.001,0.00215443,0.172,0.15,0.2,0.0315,0.0,0.05,0.0578,0.00625,1.18,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1142,1 - 1 - 12001,1 - 1 - 2001,4000.0,2.0663978319771825,1.7782013384316186,3.1622776601683795,0.00163,0.001,0.00215443,0.242,0.2,0.3,0.032,0.0,0.05,-0.0494,0.00627,0.423,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1143,1 - 1 - 12001,1 - 1 - 2001,4000.0,2.073644135332772,1.7782013384316186,3.1622776601683795,0.00166,0.001,0.00215443,0.341,0.3,0.4,0.0307,0.0,0.05,0.0209,0.0099,0.336,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1144,1 - 1 - 12001,1 - 1 - 2001,4000.0,2.039607805437114,1.7782013384316186,3.1622776601683795,0.0016,0.001,0.00215443,0.44,0.4,0.5,0.0324,0.0,0.05,-0.0126,0.0155,8.14,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1145,1 - 1 - 12001,1 - 1 - 2001,4000.0,2.0174241001832014,1.7782013384316186,3.1622776601683795,0.00165,0.001,0.00215443,0.544,0.5,0.6,0.031,0.0,0.05,-0.0381,0.0216,2.7,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1146,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.96468827043885,1.7782013384316186,3.1622776601683795,0.00155,0.001,0.00215443,0.644,0.6,0.7,0.0284,0.0,0.05,-0.265,0.0295,1.29,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1147,1 - 1 - 12001,1 - 1 - 2001,4000.0,1.9874606914351791,1.7782013384316186,3.1622776601683795,0.00166,0.001,0.00215443,0.745,0.7,0.8,0.0301,0.0,0.05,-0.103,0.0265,2.59,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1148,1 - 1 - 12001,1 - 1 - 2001,4000.0,2.004993765576342,1.7782013384316186,3.1622776601683795,0.00168,0.001,0.00215443,0.854,0.8,0.9,0.0314,0.0,0.05,0.042,0.0297,3.71,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
