Name,Siv.ep_18x275_km_ECCE_cut
Comment,Ralf's pseudo data for EIC-ECCE (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,1513
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
915,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.1447610589527217,1.7782013384316186,3.1622776601683795,0.000342,0.000215443,0.000464159,0.0745,0.05,0.1,0.0318,0.0,0.05,0.102,0.0135,0.106,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
916,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.092844953645635,1.7782013384316186,3.1622776601683795,0.000351,0.000215443,0.000464159,0.123,0.1,0.15,0.0316,0.0,0.05,-0.0416,0.0124,2.6,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
917,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.0566963801203135,1.7782013384316186,3.1622776601683795,0.000356,0.000215443,0.000464159,0.174,0.15,0.2,0.0309,0.0,0.05,-0.0246,0.0154,1.19,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
918,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.0615528128088303,1.7782013384316186,3.1622776601683795,0.000363,0.000215443,0.000464159,0.245,0.2,0.3,0.0311,0.0,0.05,0.112,0.0142,0.94,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
919,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.071231517720798,1.7782013384316186,3.1622776601683795,0.000364,0.000215443,0.000464159,0.343,0.3,0.4,0.0332,0.0,0.05,-0.202,0.0192,0.879,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
920,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.0174241001832014,1.7782013384316186,3.1622776601683795,0.000374,0.000215443,0.000464159,0.444,0.4,0.5,0.0309,0.0,0.05,-0.000918,0.0236,192.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
921,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.0566963801203135,1.7782013384316186,3.1622776601683795,0.000361,0.000215443,0.000464159,0.552,0.5,0.6,0.0342,0.0,0.05,0.502,0.0361,0.775,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
924,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.1142374511865976,1.7782013384316186,3.1622776601683795,0.00035,0.000215443,0.000464159,0.124,0.1,0.15,0.0769,0.05,0.1,-0.0829,0.0063,0.887,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
925,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.080865204668481,1.7782013384316186,3.1622776601683795,0.000363,0.000215443,0.000464159,0.173,0.15,0.2,0.0758,0.05,0.1,0.00953,0.00706,0.808,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
926,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.0615528128088303,1.7782013384316186,3.1622776601683795,0.000358,0.000215443,0.000464159,0.244,0.2,0.3,0.0758,0.05,0.1,0.0132,0.00688,1.43,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
927,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.0346989949375804,1.7782013384316186,3.1622776601683795,0.000355,0.000215443,0.000464159,0.345,0.3,0.4,0.0762,0.05,0.1,0.126,0.0111,0.467,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
928,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.0223748416156684,1.7782013384316186,3.1622776601683795,0.000356,0.000215443,0.000464159,0.443,0.4,0.5,0.0757,0.05,0.1,0.00232,0.0139,6.79,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
929,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.0542638584174138,1.7782013384316186,3.1622776601683795,0.000364,0.000215443,0.000464159,0.541,0.5,0.6,0.0749,0.05,0.1,0.0351,0.0165,1.34,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
930,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.004993765576342,1.7782013384316186,3.1622776601683795,0.000358,0.000215443,0.000464159,0.63,0.6,0.7,0.0743,0.05,0.1,0.148,0.0349,2.47,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
935,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.080865204668481,1.7782013384316186,3.1622776601683795,0.000355,0.000215443,0.000464159,0.242,0.2,0.3,0.152,0.1,0.2,0.0199,0.0033,0.227,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
936,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.046948949045872,1.7782013384316186,3.1622776601683795,0.000361,0.000215443,0.000464159,0.342,0.3,0.4,0.15,0.1,0.2,0.00304,0.00499,18.2,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
937,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.0371548787463363,1.7782013384316186,3.1622776601683795,0.000358,0.000215443,0.000464159,0.445,0.4,0.5,0.15,0.1,0.2,0.017,0.00677,0.781,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
938,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.0518284528683193,1.7782013384316186,3.1622776601683795,0.000359,0.000215443,0.000464159,0.545,0.5,0.6,0.151,0.1,0.2,-0.0982,0.0089,0.22,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
939,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.0445048300260873,1.7782013384316186,3.1622776601683795,0.000358,0.000215443,0.000464159,0.634,0.6,0.7,0.152,0.1,0.2,0.0396,0.0146,4.57,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
940,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.029778313018444,1.7782013384316186,3.1622776601683795,0.000336,0.000215443,0.000464159,0.745,0.7,0.8,0.157,0.1,0.2,-0.0896,0.0217,0.772,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
941,1 - 1 - 12022,1 - 1 - 2022,19800.0,2.071231517720798,1.7782013384316186,3.1622776601683795,0.000363,0.000215443,0.000464159,0.85,0.8,0.9,0.155,0.1,0.2,-0.4,0.0312,0.522,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
