Name,Siv.ep_18x275_pim_ECCE_cut
Comment,Ralf's pseudo data for EIC-ECCE (Sivers).
Reference,Ralf
Process type,SIDIS
Number of points,2232
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
938,1 - 1 - 12021,1 - 1 - 2021,19800.0,1.841195263952197,1.7782013384316186,3.1622776601683795,0.000202,0.0001,0.000215443,0.0645,0.05,0.1,0.0372,0.0,0.05,0.0248,0.018,0.728,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
942,1 - 1 - 12021,1 - 1 - 2021,19800.0,1.8248287590894658,1.7782013384316186,3.1622776601683795,0.000203,0.0001,0.000215443,0.168,0.15,0.2,0.0795,0.05,0.1,0.0483,0.0275,1.94,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
948,1 - 1 - 12021,1 - 1 - 2021,19800.0,1.8275666882497066,1.7782013384316186,3.1622776601683795,0.000206,0.0001,0.000215443,0.336,0.3,0.4,0.158,0.1,0.2,0.0604,0.0219,2.62,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
949,1 - 1 - 12021,1 - 1 - 2021,19800.0,1.816590212458495,1.7782013384316186,3.1622776601683795,0.000204,0.0001,0.000215443,0.44,0.4,0.5,0.159,0.1,0.2,0.0818,0.0398,3.98,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
957,1 - 1 - 12021,1 - 1 - 2021,19800.0,1.841195263952197,1.7782013384316186,3.1622776601683795,0.000203,0.0001,0.000215443,0.54,0.5,0.6,0.254,0.2,0.3,0.13,0.0372,3.24,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
967,1 - 1 - 12021,1 - 1 - 2021,19800.0,1.8303005217723127,1.7782013384316186,3.1622776601683795,0.000205,0.0001,0.000215443,0.75,0.7,0.8,0.406,0.3,0.5,0.108,0.0323,2.47,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
968,1 - 1 - 12021,1 - 1 - 2021,19800.0,1.8248287590894658,1.7782013384316186,3.1622776601683795,0.000204,0.0001,0.000215443,0.855,0.8,0.9,0.395,0.3,0.5,-0.129,0.0496,0.352,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
1026,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.1260291625469296,1.7782013384316186,3.1622776601683795,0.000345,0.000215443,0.000464159,0.0701,0.05,0.1,0.0313,0.0,0.05,-0.027,0.00285,0.916,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
1027,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.083266665599966,1.7782013384316186,3.1622776601683795,0.000352,0.000215443,0.000464159,0.122,0.1,0.15,0.0318,0.0,0.05,-0.0239,0.00403,0.709,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
1028,1 - 1 - 12021,1 - 1 - 2021,19800.0,2.046948949045872,1.7782013384316186,3.1622776601683795,0.000361,0.000215443,0.000464159,0.172,0.15,0.2,0.0305,0.0,0.05,-0.0594,0.00538,0.107,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
