Name,unpol.10x100_km_HB_opt4_cut
Comment,Ralf's pseudo data for EIC.
Reference,Ralf
Process type,SIDIS
Number of points,2987
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
3959,1 - 1 - 2022,4000.0,1.8220867158288598,1.7782800679308082,2.3713730200033902,0.000947,0.000630957,0.001,0.175,0.15,0.2,0.0766,0.05,0.1,185000.0,2850.0,147000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
3972,1 - 1 - 2022,4000.0,1.8275666882497066,1.7782800679308082,2.3713730200033902,0.000949,0.000630957,0.001,0.226,0.2,0.25,0.0795,0.05,0.1,102000.0,2120.0,44600.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
3985,1 - 1 - 2022,4000.0,1.8083141320025125,1.7782800679308082,2.3713730200033902,0.000917,0.000630957,0.001,0.28,0.25,0.3,0.0305,0.0,0.05,44600.0,1400.0,25500.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
3986,1 - 1 - 2022,4000.0,1.849324200890693,1.7782800679308082,2.3713730200033902,0.000961,0.000630957,0.001,0.271,0.25,0.3,0.0806,0.05,0.1,70200.0,1760.0,12800.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
3999,1 - 1 - 2022,4000.0,1.8275666882497066,1.7782800679308082,2.3713730200033902,0.000968,0.000630957,0.001,0.359,0.3,0.4,0.023,0.0,0.05,28700.0,794.0,9560.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4000,1 - 1 - 2022,4000.0,1.8138357147217055,1.7782800679308082,2.3713730200033902,0.00094,0.000630957,0.001,0.336,0.3,0.4,0.0755,0.05,0.1,51000.0,1060.0,6.77,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4001,1 - 1 - 2022,4000.0,1.8303005217723127,1.7782800679308082,2.3713730200033902,0.000954,0.000630957,0.001,0.345,0.3,0.4,0.146,0.1,0.2,73300.0,898.0,14400.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4013,1 - 1 - 2022,4000.0,1.8681541692269406,1.7782800679308082,2.3713730200033902,0.000945,0.000630957,0.001,0.455,0.4,0.5,0.0366,0.0,0.05,9560.0,459.0,2.42,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4014,1 - 1 - 2022,4000.0,1.8220867158288598,1.7782800679308082,2.3713730200033902,0.000926,0.000630957,0.001,0.442,0.4,0.5,0.0714,0.05,0.1,12700.0,530.0,3190.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4015,1 - 1 - 2022,4000.0,1.8303005217723127,1.7782800679308082,2.3713730200033902,0.000936,0.000630957,0.001,0.439,0.4,0.5,0.138,0.1,0.2,33500.0,607.0,3190.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
