Name,unpol.18x100_kp_HB_opt8_cut
Comment,Ralf's pseudo data for EIC.
Reference,Ralf
Process type,SIDIS
Number of points,3537
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
3990,1 - 1 - 2002,7200.0,1.862793601019716,1.7782800679308082,2.3713730200033902,0.00057,0.000398107,0.000630957,0.0685,0.05,0.1,0.0348,0.0,0.05,675000.0,6860.0,320000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4004,1 - 1 - 2002,7200.0,1.8547236990991407,1.7782800679308082,2.3713730200033902,0.000575,0.000398107,0.000630957,0.121,0.1,0.15,0.0346,0.0,0.05,426000.0,5450.0,308000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4018,1 - 1 - 2002,7200.0,1.8520259177452134,1.7782800679308082,2.3713730200033902,0.000577,0.000398107,0.000630957,0.174,0.15,0.2,0.0348,0.0,0.05,272000.0,4360.0,178000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4019,1 - 1 - 2002,7200.0,1.8601075237738274,1.7782800679308082,2.3713730200033902,0.000569,0.000398107,0.000630957,0.173,0.15,0.2,0.0791,0.05,0.1,722000.0,7100.0,473000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4032,1 - 1 - 2002,7200.0,1.8220867158288598,1.7782800679308082,2.3713730200033902,0.000581,0.000398107,0.000630957,0.229,0.2,0.25,0.0287,0.0,0.05,189000.0,3630.0,59200.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4033,1 - 1 - 2002,7200.0,1.8708286933869707,1.7782800679308082,2.3713730200033902,0.000574,0.000398107,0.000630957,0.225,0.2,0.25,0.0798,0.05,0.1,580000.0,6360.0,391000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4046,1 - 1 - 2002,7200.0,1.857417562100671,1.7782800679308082,2.3713730200033902,0.000572,0.000398107,0.000630957,0.275,0.25,0.3,0.0766,0.05,0.1,320000.0,4720.0,154000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4059,1 - 1 - 2002,7200.0,1.8708286933869707,1.7782800679308082,2.3713730200033902,0.000585,0.000398107,0.000630957,0.347,0.3,0.4,0.0771,0.05,0.1,189000.0,2570.0,136000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4060,1 - 1 - 2002,7200.0,1.865475810617763,1.7782800679308082,2.3713730200033902,0.000576,0.000398107,0.000630957,0.346,0.3,0.4,0.156,0.1,0.2,349000.0,2470.0,175000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4072,1 - 1 - 2002,7200.0,1.841195263952197,1.7782800679308082,2.3713730200033902,0.000565,0.000398107,0.000630957,0.444,0.4,0.5,0.0341,0.0,0.05,53300.0,1360.0,41400.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4073,1 - 1 - 2002,7200.0,1.865475810617763,1.7782800679308082,2.3713730200033902,0.000596,0.000398107,0.000630957,0.456,0.4,0.5,0.0721,0.05,0.1,101000.0,1870.0,76900.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4074,1 - 1 - 2002,7200.0,1.8601075237738274,1.7782800679308082,2.3713730200033902,0.000577,0.000398107,0.000630957,0.441,0.4,0.5,0.157,0.1,0.2,186000.0,1800.0,127000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4086,1 - 1 - 2002,7200.0,1.8384776310850235,1.7782800679308082,2.3713730200033902,0.000584,0.000398107,0.000630957,0.545,0.5,0.6,0.156,0.1,0.2,133000.0,1520.0,115000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4087,1 - 1 - 2002,7200.0,1.8681541692269406,1.7782800679308082,2.3713730200033902,0.000572,0.000398107,0.000630957,0.547,0.5,0.6,0.257,0.2,0.3,148000.0,1610.0,130000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4111,1 - 1 - 2002,7200.0,2.0024984394500787,1.7782800679308082,2.3713730200033902,0.000818,0.000630957,0.001,0.0724,0.05,0.1,0.0325,0.0,0.05,2100000.0,9610.0,508000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4125,1 - 1 - 2002,7200.0,2.0174241001832014,1.7782800679308082,2.3713730200033902,0.000818,0.000630957,0.001,0.123,0.1,0.15,0.0334,0.0,0.05,1510000.0,8150.0,441000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4139,1 - 1 - 2002,7200.0,2.0199009876724157,1.7782800679308082,2.3713730200033902,0.00082,0.000630957,0.001,0.174,0.15,0.2,0.0327,0.0,0.05,889000.0,6260.0,97200.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4140,1 - 1 - 2002,7200.0,2.0273134932713295,1.7782800679308082,2.3713730200033902,0.000825,0.000630957,0.001,0.173,0.15,0.2,0.0782,0.05,0.1,2400000.0,10300.0,231000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4153,1 - 1 - 2002,7200.0,1.982422760159901,1.7782800679308082,2.3713730200033902,0.000806,0.000630957,0.001,0.223,0.2,0.25,0.0348,0.0,0.05,642000.0,5320.0,82100.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4154,1 - 1 - 2002,7200.0,2.004993765576342,1.7782800679308082,2.3713730200033902,0.000817,0.000630957,0.001,0.224,0.2,0.25,0.0764,0.05,0.1,1960000.0,9300.0,486000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4167,1 - 1 - 2002,7200.0,1.9949937343260002,1.7782800679308082,2.3713730200033902,0.000813,0.000630957,0.001,0.271,0.25,0.3,0.0307,0.0,0.05,463000.0,4520.0,37400.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4168,1 - 1 - 2002,7200.0,1.997498435543818,1.7782800679308082,2.3713730200033902,0.000808,0.000630957,0.001,0.274,0.25,0.3,0.078,0.05,0.1,1050000.0,6810.0,15000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4181,1 - 1 - 2002,7200.0,2.009975124224178,1.7782800679308082,2.3713730200033902,0.000823,0.000630957,0.001,0.338,0.3,0.4,0.0349,0.0,0.05,235000.0,2280.0,33600.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4182,1 - 1 - 2002,7200.0,2.009975124224178,1.7782800679308082,2.3713730200033902,0.00082,0.000630957,0.001,0.345,0.3,0.4,0.0789,0.05,0.1,721000.0,3980.0,172000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4183,1 - 1 - 2002,7200.0,1.997498435543818,1.7782800679308082,2.3713730200033902,0.000823,0.000630957,0.001,0.345,0.3,0.4,0.154,0.1,0.2,1200000.0,3630.0,200000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4195,1 - 1 - 2002,7200.0,1.997498435543818,1.7782800679308082,2.3713730200033902,0.000841,0.000630957,0.001,0.441,0.4,0.5,0.034,0.0,0.05,146000.0,1790.0,70900.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4196,1 - 1 - 2002,7200.0,2.0074859899884734,1.7782800679308082,2.3713730200033902,0.000832,0.000630957,0.001,0.446,0.4,0.5,0.0783,0.05,0.1,455000.0,3170.0,89500.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4197,1 - 1 - 2002,7200.0,2.0024984394500787,1.7782800679308082,2.3713730200033902,0.000819,0.000630957,0.001,0.446,0.4,0.5,0.154,0.1,0.2,737000.0,2850.0,175000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4209,1 - 1 - 2002,7200.0,2.04939015319192,1.7782800679308082,2.3713730200033902,0.000822,0.000630957,0.001,0.546,0.5,0.6,0.0313,0.0,0.05,89600.0,1400.0,29900.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4210,1 - 1 - 2002,7200.0,2.029778313018444,1.7782800679308082,2.3713730200033902,0.000807,0.000630957,0.001,0.556,0.5,0.6,0.0798,0.05,0.1,187000.0,2030.0,48600.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4211,1 - 1 - 2002,7200.0,1.98997487421324,1.7782800679308082,2.3713730200033902,0.000838,0.000630957,0.001,0.546,0.5,0.6,0.154,0.1,0.2,375000.0,2030.0,101000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4212,1 - 1 - 2002,7200.0,1.9874606914351791,1.7782800679308082,2.3713730200033902,0.000835,0.000630957,0.001,0.546,0.5,0.6,0.248,0.2,0.3,508000.0,2360.0,205000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
