Name,unpol.18x100_pip_ACC_opt4_cut
Comment,Ralf's pseudo data for EIC.
Reference,Ralf
Process type,SIDIS
Number of points,3556
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
3901,1 - 1 - 2001,7200.0,1.876166303929372,1.7782800679308082,2.3713730200033902,0.000577,0.000398107,0.000630957,0.0682,0.05,0.1,0.0335,0.0,0.05,6310000.0,21000.0,2850000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
3915,1 - 1 - 2001,7200.0,1.862793601019716,1.7782800679308082,2.3713730200033902,0.000573,0.000398107,0.000630957,0.122,0.1,0.15,0.0338,0.0,0.05,2120000.0,12200.0,1440000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
3929,1 - 1 - 2001,7200.0,1.862793601019716,1.7782800679308082,2.3713730200033902,0.000578,0.000398107,0.000630957,0.174,0.15,0.2,0.033,0.0,0.05,1090000.0,8720.0,757000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
3930,1 - 1 - 2001,7200.0,1.8708286933869707,1.7782800679308082,2.3713730200033902,0.000574,0.000398107,0.000630957,0.174,0.15,0.2,0.0787,0.05,0.1,3200000.0,14900.0,1690000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
3943,1 - 1 - 2001,7200.0,1.8520259177452134,1.7782800679308082,2.3713730200033902,0.00058,0.000398107,0.000630957,0.221,0.2,0.25,0.0345,0.0,0.05,615000.0,6550.0,450000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
3944,1 - 1 - 2001,7200.0,1.865475810617763,1.7782800679308082,2.3713730200033902,0.00058,0.000398107,0.000630957,0.223,0.2,0.25,0.079,0.05,0.1,1800000.0,11200.0,1080000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
3957,1 - 1 - 2001,7200.0,1.8466185312619388,1.7782800679308082,2.3713730200033902,0.000574,0.000398107,0.000630957,0.277,0.25,0.3,0.0307,0.0,0.05,319000.0,4720.0,249000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
3958,1 - 1 - 2001,7200.0,1.8520259177452134,1.7782800679308082,2.3713730200033902,0.000572,0.000398107,0.000630957,0.275,0.25,0.3,0.0761,0.05,0.1,1090000.0,8720.0,698000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
3971,1 - 1 - 2001,7200.0,1.862793601019716,1.7782800679308082,2.3713730200033902,0.000579,0.000398107,0.000630957,0.344,0.3,0.4,0.0314,0.0,0.05,243000.0,2910.0,219000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
3972,1 - 1 - 2001,7200.0,1.8708286933869707,1.7782800679308082,2.3713730200033902,0.000577,0.000398107,0.000630957,0.344,0.3,0.4,0.0778,0.05,0.1,657000.0,4790.0,550000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
