Name,unpol.18x275_pim_ACC_opt3_cut
Comment,Ralf's pseudo data for EIC.
Reference,Ralf
Process type,SIDIS
Number of points,3881
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
3904,1 - 1 - 2021,19800.0,1.8947295321496416,1.7782800679308082,2.3713730200033902,0.000223,0.000158489,0.000251189,0.0675,0.05,0.1,0.033,0.0,0.05,38400000.0,82100.0,15000000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
3918,1 - 1 - 2021,19800.0,1.8894443627691184,1.7782800679308082,2.3713730200033902,0.000222,0.000158489,0.000251189,0.122,0.1,0.15,0.0331,0.0,0.05,11300000.0,44400.0,6160000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
3932,1 - 1 - 2021,19800.0,1.8973665961010275,1.7782800679308082,2.3713730200033902,0.000227,0.000158489,0.000251189,0.172,0.15,0.2,0.0338,0.0,0.05,5800000.0,31900.0,3220000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
3933,1 - 1 - 2021,19800.0,1.8947295321496416,1.7782800679308082,2.3713730200033902,0.000224,0.000158489,0.000251189,0.172,0.15,0.2,0.0773,0.05,0.1,17900000.0,56100.0,7470000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
3946,1 - 1 - 2021,19800.0,1.9026297590440449,1.7782800679308082,2.3713730200033902,0.000225,0.000158489,0.000251189,0.222,0.2,0.25,0.0341,0.0,0.05,3790000.0,25800.0,2420000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
3947,1 - 1 - 2021,19800.0,1.8947295321496416,1.7782800679308082,2.3713730200033902,0.000224,0.000158489,0.000251189,0.224,0.2,0.25,0.0779,0.05,0.1,10200000.0,42200.0,5360000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
3960,1 - 1 - 2021,19800.0,1.865475810617763,1.7782800679308082,2.3713730200033902,0.000221,0.000158489,0.000251189,0.271,0.25,0.3,0.0323,0.0,0.05,2010000.0,18800.0,1130000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
3961,1 - 1 - 2021,19800.0,1.8841443681416772,1.7782800679308082,2.3713730200033902,0.000223,0.000158489,0.000251189,0.274,0.25,0.3,0.0784,0.05,0.1,6720000.0,34300.0,3810000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
3974,1 - 1 - 2021,19800.0,1.9026297590440449,1.7782800679308082,2.3713730200033902,0.000227,0.000158489,0.000251189,0.343,0.3,0.4,0.0332,0.0,0.05,1080000.0,9740.0,696000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
3975,1 - 1 - 2021,19800.0,1.8920887928424501,1.7782800679308082,2.3713730200033902,0.000222,0.000158489,0.000251189,0.342,0.3,0.4,0.0768,0.05,0.1,3380000.0,17200.0,2530000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
3976,1 - 1 - 2021,19800.0,1.8841443681416772,1.7782800679308082,2.3713730200033902,0.000222,0.000158489,0.000251189,0.343,0.3,0.4,0.155,0.1,0.2,6510000.0,16900.0,4230000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
3988,1 - 1 - 2021,19800.0,1.8734993995195195,1.7782800679308082,2.3713730200033902,0.000222,0.000158489,0.000251189,0.442,0.4,0.5,0.0355,0.0,0.05,451000.0,6290.0,438000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
3989,1 - 1 - 2021,19800.0,1.8867962264113207,1.7782800679308082,2.3713730200033902,0.000222,0.000158489,0.000251189,0.445,0.4,0.5,0.154,0.1,0.2,2770000.0,11000.0,2740000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4012,1 - 1 - 2021,19800.0,2.0273134932713295,1.7782800679308082,2.3713730200033902,0.000325,0.000251189,0.000398107,0.0681,0.05,0.1,0.0326,0.0,0.05,88700000.0,99000.0,15800000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4026,1 - 1 - 2021,19800.0,2.0248456731316584,1.7782800679308082,2.3713730200033902,0.000324,0.000251189,0.000398107,0.122,0.1,0.15,0.0335,0.0,0.05,27100000.0,54800.0,2540000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4040,1 - 1 - 2021,19800.0,2.0174241001832014,1.7782800679308082,2.3713730200033902,0.000324,0.000251189,0.000398107,0.173,0.15,0.2,0.0327,0.0,0.05,14300000.0,39800.0,1370000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4041,1 - 1 - 2021,19800.0,2.0149441679609885,1.7782800679308082,2.3713730200033902,0.000325,0.000251189,0.000398107,0.173,0.15,0.2,0.0779,0.05,0.1,39900000.0,66500.0,4150000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4054,1 - 1 - 2021,19800.0,2.0124611797498106,1.7782800679308082,2.3713730200033902,0.000321,0.000251189,0.000398107,0.224,0.2,0.25,0.0332,0.0,0.05,8180000.0,30100.0,732000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4055,1 - 1 - 2021,19800.0,2.0124611797498106,1.7782800679308082,2.3713730200033902,0.000322,0.000251189,0.000398107,0.223,0.2,0.25,0.0772,0.05,0.1,23500000.0,51000.0,2210000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4068,1 - 1 - 2021,19800.0,2.0248456731316584,1.7782800679308082,2.3713730200033902,0.000323,0.000251189,0.000398107,0.274,0.25,0.3,0.0335,0.0,0.05,5430000.0,24500.0,504000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4069,1 - 1 - 2021,19800.0,2.0124611797498106,1.7782800679308082,2.3713730200033902,0.000324,0.000251189,0.000398107,0.273,0.25,0.3,0.078,0.05,0.1,14100000.0,39500.0,1140000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4082,1 - 1 - 2021,19800.0,2.0346989949375804,1.7782800679308082,2.3713730200033902,0.000322,0.000251189,0.000398107,0.341,0.3,0.4,0.0341,0.0,0.05,2470000.0,11700.0,463000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4083,1 - 1 - 2021,19800.0,2.0174241001832014,1.7782800679308082,2.3713730200033902,0.000325,0.000251189,0.000398107,0.342,0.3,0.4,0.0775,0.05,0.1,7930000.0,21000.0,1150000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4084,1 - 1 - 2021,19800.0,2.0124611797498106,1.7782800679308082,2.3713730200033902,0.000324,0.000251189,0.000398107,0.344,0.3,0.4,0.154,0.1,0.2,15000000.0,20400.0,2600000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4096,1 - 1 - 2021,19800.0,2.029778313018444,1.7782800679308082,2.3713730200033902,0.000333,0.000251189,0.000398107,0.443,0.4,0.5,0.0335,0.0,0.05,1280000.0,8400.0,642000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4097,1 - 1 - 2021,19800.0,2.0149441679609885,1.7782800679308082,2.3713730200033902,0.000323,0.000251189,0.000398107,0.444,0.4,0.5,0.0774,0.05,0.1,3210000.0,13300.0,1760000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4098,1 - 1 - 2021,19800.0,2.0074859899884734,1.7782800679308082,2.3713730200033902,0.000326,0.000251189,0.000398107,0.444,0.4,0.5,0.156,0.1,0.2,6580000.0,13500.0,3300000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4110,1 - 1 - 2021,19800.0,1.9849433241279208,1.7782800679308082,2.3713730200033902,0.000326,0.000251189,0.000398107,0.541,0.5,0.6,0.0331,0.0,0.05,651000.0,6000.0,529000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4111,1 - 1 - 2021,19800.0,2.0248456731316584,1.7782800679308082,2.3713730200033902,0.000329,0.000251189,0.000398107,0.548,0.5,0.6,0.0774,0.05,0.1,1510000.0,9150.0,1290000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4112,1 - 1 - 2021,19800.0,2.0024984394500787,1.7782800679308082,2.3713730200033902,0.000327,0.000251189,0.000398107,0.544,0.5,0.6,0.157,0.1,0.2,3060000.0,9190.0,2550000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4113,1 - 1 - 2021,19800.0,2.009975124224178,1.7782800679308082,2.3713730200033902,0.000324,0.000251189,0.000398107,0.545,0.5,0.6,0.252,0.2,0.3,4900000.0,11600.0,4170000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4124,1 - 1 - 2021,19800.0,2.0199009876724157,1.7782800679308082,2.3713730200033902,0.000325,0.000251189,0.000398107,0.646,0.6,0.7,0.0784,0.05,0.1,837000.0,6810.0,829000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4125,1 - 1 - 2021,19800.0,2.0024984394500787,1.7782800679308082,2.3713730200033902,0.000323,0.000251189,0.000398107,0.648,0.6,0.7,0.157,0.1,0.2,1430000.0,6300.0,1410000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4126,1 - 1 - 2021,19800.0,2.0074859899884734,1.7782800679308082,2.3713730200033902,0.000322,0.000251189,0.000398107,0.644,0.6,0.7,0.253,0.2,0.3,2300000.0,7970.0,2260000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4150,1 - 1 - 2021,19800.0,2.0518284528683193,1.7782800679308082,2.3713730200033902,0.000506,0.000398107,0.000630957,0.068,0.05,0.1,0.0329,0.0,0.05,66700000.0,68200.0,34200000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4164,1 - 1 - 2021,19800.0,2.0420577856662137,1.7782800679308082,2.3713730200033902,0.000508,0.000398107,0.000630957,0.122,0.1,0.15,0.0333,0.0,0.05,19200000.0,36600.0,30800.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4178,1 - 1 - 2021,19800.0,2.0346989949375804,1.7782800679308082,2.3713730200033902,0.000505,0.000398107,0.000630957,0.173,0.15,0.2,0.0335,0.0,0.05,10700000.0,27300.0,10200.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
4179,1 - 1 - 2021,19800.0,2.0346989949375804,1.7782800679308082,2.3713730200033902,0.000508,0.000398107,0.000630957,0.172,0.15,0.2,0.0774,0.05,0.1,30700000.0,46300.0,10300.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
