Name,unpol.5x41_pim_HB_opt6_cut
Comment,Ralf's pseudo data for EIC.
Reference,Ralf
Process type,SIDIS
Number of points,2596
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
3766,1 - 1 - 2021,820.0,1.9183326093250879,1.7782800679308082,2.3713730200033902,0.0055,0.00398107,0.00630957,0.0674,0.05,0.1,0.0323,0.0,0.05,1170000.0,2850.0,1100000.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3780,1 - 1 - 2021,820.0,1.9078784028338913,1.7782800679308082,2.3713730200033902,0.00544,0.00398107,0.00630957,0.123,0.1,0.15,0.0324,0.0,0.05,289000.0,1420.0,177000.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3794,1 - 1 - 2021,820.0,1.91049731745428,1.7782800679308082,2.3713730200033902,0.00546,0.00398107,0.00630957,0.172,0.15,0.2,0.033,0.0,0.05,136000.0,975.0,18900.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3795,1 - 1 - 2021,820.0,1.91049731745428,1.7782800679308082,2.3713730200033902,0.00547,0.00398107,0.00630957,0.173,0.15,0.2,0.077,0.05,0.1,442000.0,1760.0,88500.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3808,1 - 1 - 2021,820.0,1.9235384061671346,1.7782800679308082,2.3713730200033902,0.00559,0.00398107,0.00630957,0.226,0.2,0.25,0.0325,0.0,0.05,82300.0,758.0,3330.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3809,1 - 1 - 2021,820.0,1.91049731745428,1.7782800679308082,2.3713730200033902,0.00544,0.00398107,0.00630957,0.224,0.2,0.25,0.078,0.05,0.1,266000.0,1360.0,5580.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3822,1 - 1 - 2021,820.0,1.9261360284258222,1.7782800679308082,2.3713730200033902,0.00551,0.00398107,0.00630957,0.274,0.25,0.3,0.0347,0.0,0.05,54500.0,617.0,1110.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3823,1 - 1 - 2021,820.0,1.9183326093250879,1.7782800679308082,2.3713730200033902,0.00548,0.00398107,0.00630957,0.272,0.25,0.3,0.0784,0.05,0.1,171000.0,1090.0,3340.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3836,1 - 1 - 2021,820.0,1.8894443627691184,1.7782800679308082,2.3713730200033902,0.00528,0.00398107,0.00630957,0.345,0.3,0.4,0.0336,0.0,0.05,28100.0,313.0,4170.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3837,1 - 1 - 2021,820.0,1.91049731745428,1.7782800679308082,2.3713730200033902,0.00548,0.00398107,0.00630957,0.345,0.3,0.4,0.0777,0.05,0.1,96200.0,580.0,556.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3838,1 - 1 - 2021,820.0,1.9078784028338913,1.7782800679308082,2.3713730200033902,0.00546,0.00398107,0.00630957,0.343,0.3,0.4,0.154,0.1,0.2,161000.0,530.0,4590.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3850,1 - 1 - 2021,820.0,1.9078784028338913,1.7782800679308082,2.3713730200033902,0.00551,0.00398107,0.00630957,0.449,0.4,0.5,0.0327,0.0,0.05,18400.0,253.0,278.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3851,1 - 1 - 2021,820.0,1.91049731745428,1.7782800679308082,2.3713730200033902,0.0055,0.00398107,0.00630957,0.445,0.4,0.5,0.0758,0.05,0.1,41200.0,379.0,6400.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3852,1 - 1 - 2021,820.0,1.9078784028338913,1.7782800679308082,2.3713730200033902,0.00547,0.00398107,0.00630957,0.443,0.4,0.5,0.154,0.1,0.2,83200.0,381.0,2230.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3864,1 - 1 - 2021,820.0,1.8439088914585775,1.7782800679308082,2.3713730200033902,0.00533,0.00398107,0.00630957,0.538,0.5,0.6,0.0327,0.0,0.05,3890.0,117.0,5840.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3865,1 - 1 - 2021,820.0,1.8947295321496416,1.7782800679308082,2.3713730200033902,0.00537,0.00398107,0.00630957,0.546,0.5,0.6,0.0747,0.05,0.1,19200.0,259.0,3060.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3866,1 - 1 - 2021,820.0,1.9078784028338913,1.7782800679308082,2.3713730200033902,0.00551,0.00398107,0.00630957,0.545,0.5,0.6,0.153,0.1,0.2,39800.0,263.0,1390.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3867,1 - 1 - 2021,820.0,1.9078784028338913,1.7782800679308082,2.3713730200033902,0.00547,0.00398107,0.00630957,0.544,0.5,0.6,0.253,0.2,0.3,58800.0,320.0,6670.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3878,1 - 1 - 2021,820.0,1.91049731745428,1.7782800679308082,2.3713730200033902,0.00553,0.00398107,0.00630957,0.647,0.6,0.7,0.0321,0.0,0.05,4730.0,128.0,556.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
