Name,unpol.5x41_pip_HB_opt2_cut
Comment,Ralf's pseudo data for EIC.
Reference,Ralf
Process type,SIDIS
Number of points,2624
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
3786,1 - 1 - 2001,820.0,1.9183326093250879,1.7782800679308082,2.3713730200033902,0.00546,0.00398107,0.00630957,0.0676,0.05,0.1,0.0328,0.0,0.05,996000.0,2640.0,932000.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3800,1 - 1 - 2001,820.0,1.905255888325765,1.7782800679308082,2.3713730200033902,0.00544,0.00398107,0.00630957,0.121,0.1,0.15,0.0336,0.0,0.05,300000.0,1450.0,184000.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3814,1 - 1 - 2001,820.0,1.9131126469708992,1.7782800679308082,2.3713730200033902,0.00552,0.00398107,0.00630957,0.173,0.15,0.2,0.0325,0.0,0.05,169000.0,1080.0,45600.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3815,1 - 1 - 2001,820.0,1.9131126469708992,1.7782800679308082,2.3713730200033902,0.00551,0.00398107,0.00630957,0.172,0.15,0.2,0.0782,0.05,0.1,446000.0,1760.0,73400.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3828,1 - 1 - 2001,820.0,1.9,1.7782800679308082,2.3713730200033902,0.0054,0.00398107,0.00630957,0.222,0.2,0.25,0.0307,0.0,0.05,100000.0,836.0,7790.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3829,1 - 1 - 2001,820.0,1.905255888325765,1.7782800679308082,2.3713730200033902,0.00542,0.00398107,0.00630957,0.223,0.2,0.25,0.0783,0.05,0.1,258000.0,1340.0,2790.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3842,1 - 1 - 2001,820.0,1.8867962264113207,1.7782800679308082,2.3713730200033902,0.0054,0.00398107,0.00630957,0.275,0.25,0.3,0.0324,0.0,0.05,54500.0,617.0,9440.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3843,1 - 1 - 2001,820.0,1.91049731745428,1.7782800679308082,2.3713730200033902,0.0055,0.00398107,0.00630957,0.272,0.25,0.3,0.0779,0.05,0.1,165000.0,1070.0,11100.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3856,1 - 1 - 2001,820.0,1.9131126469708992,1.7782800679308082,2.3713730200033902,0.00558,0.00398107,0.00630957,0.341,0.3,0.4,0.0365,0.0,0.05,31400.0,331.0,2780.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3857,1 - 1 - 2001,820.0,1.91049731745428,1.7782800679308082,2.3713730200033902,0.00549,0.00398107,0.00630957,0.344,0.3,0.4,0.0781,0.05,0.1,92900.0,569.0,1950.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
