Name,unpol.10x100_kp_ACC_opt3
Comment,Ralf's pseudo data for EIC.
Reference,Ralf
Process type,SIDIS
Number of points,15423
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
0,1 - 1 - 2002,4000.0,1.0723805294763609,1.0,1.3335216533675034,0.000348,0.000251189,0.000398107,0.0155,0.0,0.05,0.155,0.1,0.2,341000000.0,244000.0,298000000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1,1 - 1 - 2002,4000.0,1.0677078252031311,1.0,1.3335216533675034,0.000346,0.000251189,0.000398107,0.0149,0.0,0.05,0.251,0.2,0.3,480000000.0,290000.0,354000000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
2,1 - 1 - 2002,4000.0,1.0723805294763609,1.0,1.3335216533675034,0.000348,0.000251189,0.000398107,0.0143,0.0,0.05,0.35,0.3,0.4,484000000.0,291000.0,306000000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
3,1 - 1 - 2002,4000.0,1.0723805294763609,1.0,1.3335216533675034,0.000347,0.000251189,0.000398107,0.0147,0.0,0.05,0.449,0.4,0.5,409000000.0,267000.0,204000000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4,1 - 1 - 2002,4000.0,1.0677078252031311,1.0,1.3335216533675034,0.000347,0.000251189,0.000398107,0.015,0.0,0.05,0.548,0.5,0.6,315000000.0,235000.0,109000000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
5,1 - 1 - 2002,4000.0,1.0677078252031311,1.0,1.3335216533675034,0.000346,0.000251189,0.000398107,0.0152,0.0,0.05,0.646,0.6,0.7,219000000.0,196000.0,69500000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
6,1 - 1 - 2002,4000.0,1.0723805294763609,1.0,1.3335216533675034,0.000346,0.000251189,0.000398107,0.0162,0.0,0.05,0.746,0.7,0.8,146000000.0,160000.0,41400000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
7,1 - 1 - 2002,4000.0,1.0723805294763609,1.0,1.3335216533675034,0.000347,0.000251189,0.000398107,0.0167,0.0,0.05,0.846,0.8,0.9,90800000.0,126000.0,14900000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
8,1 - 1 - 2002,4000.0,1.0677078252031311,1.0,1.3335216533675034,0.000345,0.000251189,0.000398107,0.0167,0.0,0.05,0.946,0.9,1.0,57100000.0,100000.0,6590000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
9,1 - 1 - 2002,4000.0,1.0723805294763609,1.0,1.3335216533675034,0.000347,0.000251189,0.000398107,0.0183,0.0,0.05,1.16,1.0,1.5,15900000.0,23600.0,1250000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
