Name,unpol.10x100_kp_HB_opt1
Comment,Ralf's pseudo data for EIC.
Reference,Ralf
Process type,SIDIS
Number of points,13912
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
0,1 - 1 - 2002,4000.0,1.0723805294763609,1.0,1.3335216533675034,0.000347,0.000251189,0.000398107,0.0155,0.0,0.05,0.155,0.1,0.2,345000000.0,246000.0,328000000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1,1 - 1 - 2002,4000.0,1.0677078252031311,1.0,1.3335216533675034,0.000347,0.000251189,0.000398107,0.0148,0.0,0.05,0.251,0.2,0.3,480000000.0,290000.0,425000000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
2,1 - 1 - 2002,4000.0,1.0677078252031311,1.0,1.3335216533675034,0.000347,0.000251189,0.000398107,0.0144,0.0,0.05,0.349,0.3,0.4,490000000.0,293000.0,416000000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
3,1 - 1 - 2002,4000.0,1.0723805294763609,1.0,1.3335216533675034,0.000347,0.000251189,0.000398107,0.0145,0.0,0.05,0.449,0.4,0.5,411000000.0,268000.0,320000000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
4,1 - 1 - 2002,4000.0,1.0677078252031311,1.0,1.3335216533675034,0.000347,0.000251189,0.000398107,0.015,0.0,0.05,0.548,0.5,0.6,315000000.0,235000.0,221000000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
5,1 - 1 - 2002,4000.0,1.0677078252031311,1.0,1.3335216533675034,0.000346,0.000251189,0.000398107,0.0154,0.0,0.05,0.647,0.6,0.7,221000000.0,196000.0,157000000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
6,1 - 1 - 2002,4000.0,1.0677078252031311,1.0,1.3335216533675034,0.000347,0.000251189,0.000398107,0.0163,0.0,0.05,0.746,0.7,0.8,149000000.0,161000.0,107000000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
7,1 - 1 - 2002,4000.0,1.0723805294763609,1.0,1.3335216533675034,0.000347,0.000251189,0.000398107,0.0166,0.0,0.05,0.846,0.8,0.9,92500000.0,127000.0,58600000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
8,1 - 1 - 2002,4000.0,1.0677078252031311,1.0,1.3335216533675034,0.000346,0.000251189,0.000398107,0.017,0.0,0.05,0.946,0.9,1.0,57700000.0,100000.0,35400000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
9,1 - 1 - 2002,4000.0,1.0723805294763609,1.0,1.3335216533675034,0.000347,0.000251189,0.000398107,0.0183,0.0,0.05,1.16,1.0,1.5,16000000.0,23700.0,9250000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
10,1 - 1 - 2002,4000.0,1.0677078252031311,1.0,1.3335216533675034,0.000346,0.000251189,0.000398107,0.0219,0.0,0.05,1.68,1.5,2.0,1900000.0,8160.0,1000000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
11,1 - 1 - 2002,4000.0,1.0770329614269007,1.0,1.3335216533675034,0.000346,0.000251189,0.000398107,0.0258,0.0,0.05,2.32,2.0,4.0,141000.0,1110.0,74700.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
12,1 - 1 - 2002,4000.0,1.0677078252031311,1.0,1.3335216533675034,0.000348,0.000251189,0.000398107,0.0721,0.05,0.1,0.0783,0.05,0.1,46000000.0,127000.0,46000000.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
