Name,unpol.5x100_pim_ACC_opt1
Comment,Ralf's pseudo data for EIC.
Reference,Ralf
Process type,SIDIS
Number of points,14783
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
0,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.0138,0.0,0.05,0.0343,0.0,0.05,139000000.0,175000.0,136000000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
1,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000593,0.000398107,0.000630957,0.0121,0.0,0.05,0.0773,0.05,0.1,413000000.0,302000.0,379000000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
2,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.0124,0.0,0.05,0.151,0.1,0.2,607000000.0,259000.0,519000000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.013,0.0,0.05,0.248,0.2,0.3,578000000.0,252000.0,455000000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
4,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.0137,0.0,0.05,0.347,0.3,0.4,430000000.0,218000.0,308000000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
5,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.0146,0.0,0.05,0.447,0.4,0.5,290000000.0,179000.0,187000000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
6,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.0153,0.0,0.05,0.547,0.5,0.6,188000000.0,144000.0,112000000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
7,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000593,0.000398107,0.000630957,0.0159,0.0,0.05,0.646,0.6,0.7,116000000.0,113000.0,68900000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
8,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.017,0.0,0.05,0.745,0.7,0.8,69500000.0,87600.0,41800000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
9,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.0174,0.0,0.05,0.845,0.8,0.9,41800000.0,67900.0,24900000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
10,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.0175,0.0,0.05,0.945,0.9,1.0,23700000.0,51100.0,15000000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
11,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000595,0.000398107,0.000630957,0.0196,0.0,0.05,1.15,1.0,1.5,6130000.0,11600.0,3630000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
12,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000596,0.000398107,0.000630957,0.0242,0.0,0.05,1.66,1.5,2.0,463000.0,3200.0,273000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
13,1 - 1 - 2021,2000.0,1.03440804327886,1.0,1.3335216533675034,0.000603,0.000398107,0.000630957,0.0283,0.0,0.05,2.45,2.0,4.0,14500.0,282.0,10500.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
14,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000593,0.000398107,0.000630957,0.0721,0.05,0.1,0.348,0.3,0.4,85400000.0,97100.0,84300000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
15,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.0719,0.05,0.1,0.448,0.4,0.5,64400000.0,84300.0,56600000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
16,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.0728,0.05,0.1,0.546,0.5,0.6,41800000.0,67900.0,24300000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
17,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.0722,0.05,0.1,0.646,0.6,0.7,29400000.0,56900.0,16600000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
18,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000593,0.000398107,0.000630957,0.0723,0.05,0.1,0.746,0.7,0.8,19900000.0,46800.0,10900000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
19,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.0739,0.05,0.1,0.846,0.8,0.9,12300000.0,36900.0,6650000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
20,1 - 1 - 2021,2000.0,1.02469507659596,1.0,1.3335216533675034,0.000591,0.000398107,0.000630957,0.074,0.05,0.1,0.945,0.9,1.0,6940000.0,27700.0,3650000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
21,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000593,0.000398107,0.000630957,0.0731,0.05,0.1,1.16,1.0,1.5,2110000.0,6820.0,1250000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
22,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000591,0.000398107,0.000630957,0.073,0.05,0.1,1.7,1.5,2.0,258000.0,2380.0,137000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
23,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.064,0.05,0.1,2.38,2.0,4.0,14500.0,282.0,10500.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
24,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000596,0.000398107,0.000630957,0.121,0.1,0.15,0.0336,0.0,0.05,5780000.0,35700.0,4580000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
25,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000592,0.000398107,0.000630957,0.121,0.1,0.15,0.0775,0.05,0.1,18600000.0,64100.0,14800000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
26,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000593,0.000398107,0.000630957,0.122,0.1,0.15,0.154,0.1,0.2,38200000.0,64900.0,27100000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
27,1 - 1 - 2021,2000.0,1.0295630140987,1.0,1.3335216533675034,0.000594,0.000398107,0.000630957,0.123,0.1,0.15,0.251,0.2,0.3,51200000.0,75200.0,34400000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
