Name,unpol.5x41_km_HB_opt1
Comment,Ralf's pseudo data for EIC.
Reference,Ralf
Process type,SIDIS
Number of points,9904
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
0,1 - 1 - 2022,820.0,1.03440804327886,1.0,1.3335216533675034,0.00147,0.001,0.00158489,0.0205,0.0,0.05,0.155,0.1,0.2,7230000.0,17800.0,7080000.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
1,1 - 1 - 2022,820.0,1.03440804327886,1.0,1.3335216533675034,0.00148,0.001,0.00158489,0.0196,0.0,0.05,0.25,0.2,0.3,9790000.0,20700.0,9200000.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
2,1 - 1 - 2022,820.0,1.03440804327886,1.0,1.3335216533675034,0.00148,0.001,0.00158489,0.0194,0.0,0.05,0.349,0.3,0.4,9790000.0,20700.0,9000000.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
3,1 - 1 - 2022,820.0,1.03440804327886,1.0,1.3335216533675034,0.00148,0.001,0.00158489,0.0198,0.0,0.05,0.448,0.4,0.5,8130000.0,18900.0,7040000.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
4,1 - 1 - 2022,820.0,1.03440804327886,1.0,1.3335216533675034,0.00148,0.001,0.00158489,0.021,0.0,0.05,0.547,0.5,0.6,6320000.0,16700.0,5170000.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
5,1 - 1 - 2022,820.0,1.03440804327886,1.0,1.3335216533675034,0.00148,0.001,0.00158489,0.021,0.0,0.05,0.644,0.6,0.7,4340000.0,13800.0,3620000.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
6,1 - 1 - 2022,820.0,1.03440804327886,1.0,1.3335216533675034,0.00147,0.001,0.00158489,0.0216,0.0,0.05,0.746,0.7,0.8,2690000.0,10900.0,2170000.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
7,1 - 1 - 2022,820.0,1.03440804327886,1.0,1.3335216533675034,0.00147,0.001,0.00158489,0.0222,0.0,0.05,0.845,0.8,0.9,1870000.0,9060.0,1440000.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
8,1 - 1 - 2022,820.0,1.03440804327886,1.0,1.3335216533675034,0.00147,0.001,0.00158489,0.0223,0.0,0.05,0.945,0.9,1.0,1040000.0,6770.0,798000.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
9,1 - 1 - 2022,820.0,1.03440804327886,1.0,1.3335216533675034,0.00148,0.001,0.00158489,0.0259,0.0,0.05,1.14,1.0,1.5,284000.0,1580.0,190000.0,1.0,True,0.01,0.95,10.0,1640.0,0.938,0.139
