Name,unpol.EIC.empty10x100_cut
Comment,Bins for EIC set
Reference,AV
Process type,SIDIS
Number of points,6889
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
924,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.075,0.05,0.1,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
938,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.125,0.1,0.15,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
952,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.175,0.15,0.2,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
953,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.175,0.15,0.2,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
966,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.225,0.2,0.25,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
967,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.225,0.2,0.25,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
980,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.275,0.25,0.3,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
981,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.275,0.25,0.3,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
994,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.35,0.3,0.4,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
995,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.35,0.3,0.4,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
996,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.35,0.3,0.4,0.15,0.1,0.2,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1008,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.45,0.4,0.5,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1009,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.45,0.4,0.5,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1010,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.45,0.4,0.5,0.15,0.1,0.2,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1022,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.55,0.5,0.6,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1023,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.55,0.5,0.6,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1024,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.55,0.5,0.6,0.15,0.1,0.2,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1025,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.55,0.5,0.6,0.25,0.2,0.3,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1036,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.65,0.6,0.7,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1037,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.65,0.6,0.7,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1038,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.65,0.6,0.7,0.15,0.1,0.2,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1039,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.65,0.6,0.7,0.25,0.2,0.3,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1050,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.75,0.7,0.8,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1051,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.75,0.7,0.8,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1052,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.75,0.7,0.8,0.15,0.1,0.2,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1053,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.75,0.7,0.8,0.25,0.2,0.3,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1054,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.75,0.7,0.8,0.35,0.3,0.4,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1064,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.85,0.8,0.9,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1065,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.85,0.8,0.9,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1066,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.85,0.8,0.9,0.15,0.1,0.2,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1067,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.85,0.8,0.9,0.25,0.2,0.3,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1068,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.85,0.8,0.9,0.35,0.3,0.4,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1078,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.95,0.9,1.0,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1079,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.95,0.9,1.0,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1080,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.95,0.9,1.0,0.15,0.1,0.2,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1081,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.95,0.9,1.0,0.25,0.2,0.3,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1082,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.95,0.9,1.0,0.35,0.3,0.4,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1083,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00129245,0.001,0.00158489,0.95,0.9,1.0,0.45,0.4,0.5,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1470,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.075,0.05,0.1,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1484,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.125,0.1,0.15,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1498,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.175,0.15,0.2,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1499,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.175,0.15,0.2,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1512,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.225,0.2,0.25,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1513,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.225,0.2,0.25,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1526,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.275,0.25,0.3,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1527,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.275,0.25,0.3,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1540,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.35,0.3,0.4,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1541,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.35,0.3,0.4,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1542,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.35,0.3,0.4,0.15,0.1,0.2,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1554,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.45,0.4,0.5,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1555,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.45,0.4,0.5,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1556,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.45,0.4,0.5,0.15,0.1,0.2,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1568,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.55,0.5,0.6,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1569,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.55,0.5,0.6,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1570,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.55,0.5,0.6,0.15,0.1,0.2,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1571,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.55,0.5,0.6,0.25,0.2,0.3,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
